NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,琴南小学校,コトナミショウガッコウ,香川県仲多度郡まんのう町造田1984-1,,34.16436297,133.9262856,,0877-85-2010,,374067,香川県,まんのう町,1,1,,1,,1,1,,1,2606,,,
2,琴南支所,コトナミシショ,香川県仲多度郡まんのう町造田1974-1,,34.16467327,133.9243609,,0877-85-2111,,374067,香川県,まんのう町,1,1,,1,,1,1,,1,864,,,
3,琴南農村環境改善センター,コトナミノウソンカンキョウカイゼンセンター,香川県仲多度郡まんのう町造田1974-1,,34.16404297,133.9241893,,0877-85-0112,,374067,香川県,まんのう町,1,1,,1,,1,1,,1,432,,,
4,旧琴南中学校,キュウコトナミチュウガッコウ,香川県仲多度郡まんのう町中通838,,34.14326935,133.9584664,,0877-73-0100,,374067,香川県,まんのう町,1,,,1,,1,1,,1,7692,,,
5,琴南公民館,コトナミコウミンカン,香川県仲多度郡まんのう町中通875,,34.141838,133.960231,,0877-85-2221,,374067,香川県,まんのう町,1,,,1,,1,1,,1,1021,,,
6,旧琴南東小学校,キュウコトナミヒガシショウガッコウ,香川県仲多度郡まんのう町川東919,,34.12176531,133.9728188,,0877-73-0100,,374067,香川県,まんのう町,1,,,1,,1,1,,1,2306,,,
7,琴南総合センター,コトナミソウゴウセンター,香川県仲多度郡まんのう町川東1494-1,,34.111175,133.977627,,0877-84-2111,,374067,香川県,まんのう町,1,,,1,,1,1,,1,609,,,
8,琴南高齢者コミュニティーセンター,コトナミコウレイシャコミュニティーセンター,香川県仲多度郡まんのう町川東2748-6,,34.10673837,134.026543,,0877-84-2234,,374067,香川県,まんのう町,1,,,1,,1,1,,1,80,,,
9,長炭小学校,ナガスミショウガッコウ,香川県仲多度郡まんのう町炭所西1431-2,,34.18351,133.881132,,0877-79-2006,,374067,香川県,まんのう町,1,1,,1,,1,1,,1,3466,,,
10,長炭地区活性化センター,ナガスミチクカッセイカセンター,香川県仲多度郡まんのう町炭所西774,,34.18212881,133.8825536,,0877-79-3539,,374067,香川県,まんのう町,1,1,,1,,1,1,,1,372,,,
11,満濃南小学校,マンノウミナミショウガッコウ,香川県仲多度郡まんのう町吉野74,,34.18466174,133.8528591,,0877-79-2110,,374067,香川県,まんのう町,,1,,1,,1,1,,1,4311,,,
12,吉野公民館,ヨシノコウミンカン,香川県仲多度郡まんのう町吉野1780-1,,34.18230587,133.8625224,,0877-79-3803,,374067,香川県,まんのう町,,1,,1,,1,1,,1,362,,,
13,吉野体育館,ヨシノタイイクカン,香川県仲多度郡まんのう町吉野1932-1,,34.182809,133.863528,,0877-73-0100,,374067,香川県,まんのう町,,1,,1,,1,1,,1,2604,,,
14,かりんの丘公園,カリンノオカコウエン,香川県仲多度郡まんのう町吉野4314-1,,34.17310088,133.870534,,0877-79-1250,,374067,香川県,まんのう町,1,1,,1,,1,1,,1,6013,,,
