NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,農業者トレーニングセンター,ノウギョウシャトレーニングセンター,香川県木田郡三木町大字朝倉1441,,34.231391,134.121166,,087-898-8212,,373419,香川県,三木町,1,1,,1,,,1,,1,40,,,
2,池戸商工センター,イケノベショウコウセンター,香川県木田郡三木町大字池戸2340-1,,34.277899,134.121689,,087-891-0876,,373419,香川県,三木町,1,1,,1,,,1,,1,37,,,
3,ししの子幼稚園・保育所,シシノコヨウチエン・ホイクショ,香川県木田郡三木町大字池戸1388-34,,34.288311,134.124877,,087-864-4405,,373419,香川県,三木町,1,1,,1,,,1,,1,89,,,
4,保健センター,ホケンセンター,香川県木田郡三木町大字池戸1276-5,,34.28204,134.12839,,087-898-5658,,373419,香川県,三木町,,1,,1,,,1,,1,6,,,
5,井戸公民館,イドコウミンカン,香川県木田郡三木町大字井戸2679-1,,34.265046,134.162733,,087-898-6404,,373419,香川県,三木町,,1,,1,,,1,,1,27,,,
6,井戸教育集会所,イドキョウイクシュウカイショ,香川県木田郡三木町大字井戸2631-1,,34.265322,134.163035,,087-898-3851,,373419,香川県,三木町,,1,,1,,,1,,1,11,,,
7,老人福祉会館あけぼの荘,ロウジンフクシカイカンアケボノソウ,香川県木田郡三木町大字井上1966-5,,34.29239,134.13833,,087-898-7650,,373419,香川県,三木町,1,1,,1,,,1,,1,20,,,
8,旧神山小中学校,キュウカミヤマショウチュウガッコウ,香川県木田郡三木町大字奥山987,,34.189974,134.141201,,087-891-3301,,373419,香川県,三木町,1,1,,1,,,1,,1,14,,,
9,津柳地区コミュニティセンター,ツヤナギチクコミュニティセンター,香川県木田郡三木町大字奥山1109-6,,34.191302,134.140656,,087-899-0013,,373419,香川県,三木町,1,,,1,,,1,,1,5,,,
10,鹿庭コミュニティセンター,カニワコミュニティセンター,香川県木田郡三木町大字鹿庭乙255,,34.223274,134.155425,,087-899-1138,,373419,香川県,三木町,1,1,,1,,,1,,1,120,,,
11,神山公民館,カミヤマコウミンカン,香川県木田郡三木町大字鹿庭1755-1,,34.228024,134.154951,,087-899-0330,,373419,香川県,三木町,1,1,,1,,,1,,1,24,,,
12,三木町Ｂ＆Ｇ海洋センター,ミキチョウビーアンドジーカイヨウセンター,香川県木田郡三木町大字上高岡2544-3,,34.238172,134.145192,,087-899-1155,,373419,香川県,三木町,1,1,,1,,1,1,,1,210,,,
13,すぱーく三木屋内ゲートボール場,スパークミキオクナイゲートボールジョウ,香川県木田郡三木町大字上高岡2545-14,,34.237005,134.145053,,087-899-1155,,373419,香川県,三木町,1,1,,1,,,1,,1,183,,,
14,共同福祉施設,キョウドウフクシシセツ,香川県木田郡三木町大字上高岡2542-5,,34.236815,134.143846,,087-899-1122,,373419,香川県,三木町,1,1,,1,,,1,,1,34,,,
15,旧小蓑小中学校 ,キュウコミノショウチュウガッコウ,香川県木田郡三木町大字小蓑1351-2,,34.186922,134.118293,,087-891-3301,,373419,香川県,三木町,1,1,,1,,,1,,1,8,,,
16,三木町文化交流プラザ,ミキチョウブンカコウリュウプラザ,香川県木田郡三木町大字鹿伏360,,34.272432,134.136345,,087-898-9222,,373419,香川県,三木町,1,1,,1,,,1,,1,12,,,
17,平木文化センター,ヒラギブンカセンター,香川県木田郡三木町大字鹿伏256-1,,34.269576,134.136233,,087-898-6892,,373419,香川県,三木町,,1,,1,,,1,,1,8,,,
18,白山小学校,ハクザンショウガッコウ,香川県木田郡三木町大字下高岡352-1,,34.25945,134.154931,,087-898-0257,,373419,香川県,三木町,1,1,,1,,,1,,1,148,,,
19,白山教育集会所,ハクザンキョウイクシュウカイショ,香川県木田郡三木町大字下高岡2123-1,,34.262351,134.141337,,087-898-9116,,373419,香川県,三木町,,1,,1,,,1,,1,11,,,
20,白山文化センター,ハクザンブンカセンター,香川県木田郡三木町大字下高岡2150-1,,34.262756,134.141873,,087-898-4708,,373419,香川県,三木町,,1,,1,,,1,,1,10,,,
21,ウォーキングセンター,ウォーキングセンター,香川県木田郡三木町大字下高岡1459-2,,34.261705,134.148699,,087-891-1789,,373419,香川県,三木町,,1,,1,,,1,,1,28,,,
22,田中小学校,タナカショウガッコウ,香川県木田郡三木町大字田中4620-2,,34.242052,134.120534,,087-898-0501,,373419,香川県,三木町,1,1,,1,,,1,,1,120,,,
23,田中公民館,タナカコウミンカン,香川県木田郡三木町大字田中3841-1,,34.245387,134.121834,,087-898-0504,,373419,香川県,三木町,1,1,,1,,,1,,1,30,,,
24,三木中学校,ミキチュウガッコウ,香川県木田郡三木町大字氷上31,,34.267855,134.129183,,087-898-1547,,373419,香川県,三木町,,1,,1,,,1,,1,196,,,
25,氷上小学校,ヒカミショウガッコウ,香川県木田郡三木町大字氷上2845,,34.254654,134.134526,,087-898-0710,,373419,香川県,三木町,1,1,,1,,,1,,1,120,,,
26,農村環境改善センター,ノウソンカンキョウカイゼンセンター,香川県木田郡三木町大字氷上370-2,,34.268364,134.135194,,087-891-3318,,373419,香川県,三木町,1,1,,1,,,1,,1,74,,,
27,地域交流センター,チイキコウリュウセンター,香川県木田郡三木町大字氷上2871,,34.253636,134.134452,,087-891-1321,,373419,香川県,三木町,1,1,,1,,,1,,1,50,,,
28,三木町防災センター,ミキチョウボウサイセンター,香川県木田郡三木町大字氷上310,,34.268495,134.134749,,087-891-3317,,373419,香川県,三木町,1,1,,1,,,1,,1,53,,,
29,平井小学校,ヒライショウガッコウ,香川県木田郡三木町大字平木710-1,,34.27715,134.134972,,087-898-0713,,373419,香川県,三木町,,1,,1,,,1,,1,144,,,
