全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
372081,1000080001,香川県三豊市,財田小学校,サイタショウガッコウ,,0001,香川県,三豊市,財田町財田上,5325-1,財田小学校,34.11619962,133.770102,,,体育館の入口,(0875)67-0200,,,,,7690401,,,月火水木金,08:00,16:30,国民の祝日、12/29～1/3は利用不可。,有,,,,,,,
372081,1000080002,香川県三豊市,財田診療所,サイタシンリョウショ,Saita Clinic,0001,香川県,三豊市,財田町財田上,1448-1,,34.11918,133.77802,階数,1,受付,(0875)67-3800,,kenkou@city.mitoyo.lg.jp,,,7690401,7000020372081 ,三豊市,月火水木金,09:00,17:00,土日、祝日、年末年始は休診、月水木の午後は休診,無,,,,,,,
372081,1000080003,香川県三豊市,財田町公民館,サイタチョウコウミンカン,,0001,香川県,三豊市,財田町財田上,2171-1,財田町公民館,34.11937528,133.7788773,,,事務所前,(0875)67-0108,,,,,7690401,,,月火水木金土日,09:00,17:00,,無,,,,,,,
372081,1000080004,香川県三豊市,たからだの里「環の湯」,タカラダノサト タマキノユ,,0001,香川県,三豊市,財田町財田上,1110-8,,34.108511,133.796318,,,受付,(0875)67-2614,,,,,,,,火水木金土日,10:00,21:00,月曜日定休日（祝日の場合は火曜日）,,,,,,,,
372081,1000080005,香川県三豊市,たからだの里「物産館」,タカラダノサト ブッサンカン,,0001,香川県,三豊市,財田町財田上,180-6,,34.110082,133.798032,,,,(0875)67-3883,,,,,,,,火水木金土日,08:00,18:00,月曜日定休日（祝日の場合は火曜日）,,,,,,,,
372081,1000080006,香川県三豊市,三豊市役所財田庁舎,ミトヨシヤクショサイタチョウシャ,,0001,香川県,三豊市,財田町財田上,2171-1,,34.11937528,133.7788773,,,,(0875)67-0100,,,,,7690401,,,月火水木金,08:30,17:15,土日、祝日は利用不可。また、12/29～1/3は利用不可。,,,,,,,,
372081,1000080007,香川県三豊市,和光中学校,ワコウチュウガッコウ,,0001,香川県,三豊市,財田町財田上,2790,和光中学校,34.12471954,133.7786743,,,体育館の入口,(0875)67-2012,,,,,7690401,,,月火水木金,08:00,16:30,国民の祝日、12/29～1/3は利用不可。,有,,,,,,,
372081,1000080008,香川県三豊市,麻小学校,アサショウガッコウ,,0003,香川県,三豊市,高瀬町上麻,3868,麻小学校,34.17621365,133.7680704,,,校舎脇（屋外）,(0875)74-6237,,,,,7670014,,,月火水木金,08:00,16:30,国民の祝日、12/29～1/3は利用不可。,有,,,,,,,
372081,1000080009,香川県三豊市,上高瀬小学校,カミタカセショウガッコウ,,0005,香川県,三豊市,高瀬町上高瀬,783,上高瀬小学校,34.19238521,133.7260234,,,保健室,(0875)72-5309,,,,,7670001,,,月火水木金,08:00,16:30,国民の祝日、12/29～1/3は利用不可。,有,,,,,,,
372081,1000080010,香川県三豊市,たかせ天然温泉,タカセテンネンオンセン,,0005,香川県,三豊市,高瀬町上高瀬,768-1,,34.194653,133.729707,,,フロント,(0875)73-3726,,,,,,,,月火水木金土日,10:00,23:00,第2火曜日は定休日,,,,,,,,
