全国地方公共団体コード,ID,地方公共団体名,介護サービス事業者名称,介護サービス事業者名称_カナ,介護サービス事業者名称_英字,実施サービス,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能日時特記事項,定員,URL,画像,画像ライセンス,備考
372081,1000090001,香川県三豊市,古民家デイサービス　りあん,コミンカデイサービスリアン,,地域密着型通所介護,0001,香川県,三豊市,財田町財田上,7039‐1,,34.12036259,133.8122598,,,(0875)23-6910,,,,,,,,合同会社rinrin,3790800118,,,,,,,
372081,1000090002,香川県三豊市,特別養護老人ホーム諶之丞の丘,トクベツヨウゴロウジンホームジンノジョウノオカ,,短期入所生活介護（ショートステイ）,0001,香川県,三豊市,財田町財田上,1112‐1,,34.10628299,133.7964365,,,(0875)67-2500,,,,,,,,社会福祉法人尽誠福祉会,3771700824,,,,,,,
372081,1000090003,香川県三豊市,特別養護老人ホーム諶之丞の丘,トクベツヨウゴロウジンホームジンノジョウノオカ,,介護老人福祉施設（特別養護老人ホーム）,0001,香川県,三豊市,財田町財田上,1112‐1,,34.10628299,133.7964365,,,(0875)67-2500,,,,,,,,社会福祉法人尽誠福祉会,3771700824,,,,,,,
372081,1000090004,香川県三豊市,三豊市財田町デイサービスセンター,ミトヨシサイタチョウデイサービスセンター,,通所介護（デイサービス）,0001,香川県,三豊市,財田町財田上,2141,,34.11900953,133.7782456,,,(0875)67-0120,,,,,,,,三豊市,3770800021,,,,,,,
372081,1000090005,香川県三豊市,三豊市財田町訪問看護ステーション,ミトヨシサイタチョウホウモンカンゴステーション,,訪問看護,0001,香川県,三豊市,財田町財田上,2141,,34.11901234,133.778249,,,,,,,,,,,三豊市,3760890016,,,,,,,休止中
372081,1000090006,香川県三豊市,三豊市財田町老人介護支援センター,ミトヨシサイタチョウロウジンカイゴシエンセンター,,居宅介護支援,0001,香川県,三豊市,財田町財田上,2141,,34.11900864,133.778246,,,(0875)67-0120,,,,,,,,三豊市,3770800039,,,,,,,休止中
372081,1000090007,香川県三豊市,みんなのケアマネセンター,ミンナノケアマネセンター,,居宅介護支援,0004,香川県,三豊市,高瀬町上勝間,1656-4,,34.17567256,133.729286,,,,,,,,,,,合同会社　ハートオブナーシング,3770800740,,,,,,,休止中
372081,1000090008,香川県三豊市,みんなの訪問看護ステーション,ミンナノホウモンカンゴステーション,,訪問看護,0004,香川県,三豊市,高瀬町上勝間,1656‐4,,34.17567256,133.729286,,,(0875)73-4533,,,,,,,,合同会社　ハートオブナーシング,3760890032,,,,,,,
372081,1000090009,香川県三豊市,旭グループホーム,アサヒグループホーム,,認知症対応型共同生活介護（グループホーム）,0005,香川県,三豊市,高瀬町上高瀬,5388-262,,34.20429498,133.7503472,,,(0875)72-3544,,,,,,,,株式会社　旭看護婦家政婦紹介所,3771700907,,,,,,,
372081,1000090010,香川県三豊市,介護老人保健施設　宝壽苑,カイゴロウジンホケンシセツホウジュエン,,介護老人保健施設（老健）,0005,香川県,三豊市,高瀬町上高瀬,712‐3,,34.19823326,133.7265133,,,(0875)56-2522,,,,,,,,社会福祉法人　宝壽会,3750880019,,,,,,,
