所管課,全国地方公共団体コード,ID,名称,名称（カナ）,名称（英字）,説明,緯度,経度,座標参照系,座標参照系コード,地区名,備考
危機管理課,372081,100001600001 ,（旧）大浜小学校,（キュウ）オオハマショウガッコウ,,,34.235558,133.618200,,,詫間町大浜地区,同報系
危機管理課,372081,100001600002 ,（旧）神田小学校,（キュウ）コウダショウガッコウ,,,34.142734,133.769795,,,山本町神田地区,同報系
危機管理課,372081,100001600003 ,（旧）河内小学校,（キュウ）コウチショウガッコウ,,,34.101246,133.735513,,,山本町河内地区,同報系
危機管理課,372081,100001600004 ,（旧）財田上小学校,（キュウ）サイタカミショウガッコウ,,,34.119072,133.800638,,,財田町財田上地区,同報系
危機管理課,372081,100001600005 ,（旧）財田中小学校,（キュウ）サイタナカショウガッコウ,,,34.108688,133.760684,,,財田町財田中地区,同報系
危機管理課,372081,100001600006 ,（旧）箱浦小学校,（キュウ）ハコウラショウガッコウ,,,34.254891,133.586623,,,詫間町箱地区,同報系
危機管理課,372081,100001600007 ,麻小学校,アサショウガッコウ,,,34.176592,133.767239,,,高瀬町麻地区,同報系
危機管理課,372081,100001600008 ,粟島開発総合センター,アワシマカイハツソウゴウセンター,,,34.269351,133.633911,,,詫間町粟島地区,同報系
危機管理課,372081,100001600009 ,家の浦,イエノウラ,,,34.216366,133.626124,,,仁尾町,同報系
危機管理課,372081,100001600010 ,入樋,イルヒ,,,34.083624,133.753450,,,財田町財田中地区,同報系
危機管理課,372081,100001600011 ,大見小学校,オオミショウガッコウ,,,34.216389,133.715014,,,三野町大見地区,同報系
危機管理課,372081,100001600012 ,笠田小学校,カサダショウガッコウ,,,34.158097,133.707834,,,豊中町笠田地区,同報系
危機管理課,372081,100001600013 ,勝間小学校,カツマショウガッコウ,,,34.174536,133.725740,,,高瀬町勝間地区,同報系
危機管理課,372081,100001600014 ,金坂,カナサカ,,,34.206856,133.639949,,,仁尾町,同報系
危機管理課,372081,100001600015 ,上高瀬小学校,カミタカセショウガッコウ,,,34.192285,133.726649,,,高瀬町上高瀬地区,同報系
危機管理課,372081,100001600016 ,上高野小学校,カミタカノショウッガコウ,,,34.144629,133.707490,,,豊中町上高野地区,同報系
