ID,名称,名称_カナ,名称_英字,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,全国地方公共団体コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像ライセンス,備考
1000030001,(旧)財田上小学校,キュウサイタカミショウガッコウ,,0001,香川県,三豊市,財田町財田上,726,,34.11875261,133.8011875,,,,,,,7690401,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,181,,,,,
1000030002,財田町公民館,サイタチョウコウミンカン,,0001,香川県,三豊市,財田町財田上,2171,,34.11963351,133.7790763,,(0875)67-2012,,,,,7690401,372081,香川県三豊市,,1,1,1,1,1,1,1,1,182,,,,,
1000030003,財田町総合運動公園,サイタチョウソウゴウウンドウコウエン,,0001,香川県,三豊市,財田町財田上,2350,,34.11610374,133.7699328,,(0875)67-0108,,,,,7690401,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,224,,,,,
1000030004,特別養護老人ホーム諶之丞の丘,トクベツヨウゴロウジンホームジンノジョウノオカ,,0001,香川県,三豊市,財田町財田上,1112-1,,34.10628299,133.7964365,,,,,,,7690401,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,103,,,,,
1000030005,宝光寺,ホウコウジ,,0001,香川県,三豊市,財田町財田上,6986,,34.12151984,133.8109971,,,,,,,7690401,372081,香川県三豊市,1,1,1, ,1,1,1,1,1,15,,,,,
1000030006,和光中学校,ワコウチュウガッコウ,,0001,香川県,三豊市,財田町財田上,2790,,34.12419516,133.7780863,,,,,,,7690401,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,213,,,,,
1000030007,大野地公民館,オオノジコウミンカン,,0002,香川県,三豊市,財田町財田中,4026-4,,34.11187007,133.7640001,,,,,,,7690402,372081,香川県三豊市,,1,1,,1,1,1,1,1,21,,,,,
1000030008,(旧)財田中小学校,キュウサイタナカショウガッコウ,,0002,香川県,三豊市,財田町財田中,570,,34.10855144,133.7601612,,,,,,,7690402,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,122,,,,,
1000030009,財田小学校,サイタショウガッコウ,,0002,香川県,三豊市,財田町財田中,5325-1,,34.11685589,133.7695635,,(0875)67-3721,,,,,7690402,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,200,,,,,
1000030010,財田町防災センター,サイタチョウボウサイセンター,,0002,香川県,三豊市,財田町財田中,598,,34.10838246,133.7613994,,(0875)67-0200,,,,,7690402,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,34,,,,,
1000030011,麻小学校,アサショウガッコウ,,0003,香川県,三豊市,高瀬町上麻,3868,,34.17568582,133.7682625,,(0875)74-6237,,,,,7670014,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,148,,,,,
1000030012,上高瀬小学校,カミタカセショウガッコウ,,0005,香川県,三豊市,高瀬町上高瀬,783-2,,34.19268457,133.7257669,,(0875)72-5309,,,,,7670001,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,154,,,,,
1000030013,三豊市総合体育館,ミトヨシソウゴウタイイクカン,,0005,香川県,三豊市,高瀬町上高瀬,751-24,,34.19392721,133.7271059,,(0875)72-1500,,,,,7670001,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,518,,,,,
1000030014,二ノ宮小学校,ニノミヤショウガッコウ,,0006,香川県,三豊市,高瀬町佐股,甲1497-1,,34.15944815,133.7412547,,(0875)74-6302,,,,,7670021,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,154,,,,,
1000030015,二ノ宮地区農業構造改善センター,ニノミヤチクノウギョウコウゾウカイゼンセンター,,0006,香川県,三豊市,高瀬町佐股,甲3343-4,,34.16012156,133.738346,,(0875)74-7690,,,,,7670021,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,57,,,,,
1000030016,麻地区農業構造改善センター,アサチクノウギョウコウゾウカイゼンセンター,,0007,香川県,三豊市,高瀬町下麻,1210-5,,34.17655214,133.7680416,,(0875)74-7693,,,,,7670013,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,78,,,,,
1000030017,勝間小学校,カツマショウガッコウ,,0008,香川県,三豊市,高瀬町下勝間,803-1,,34.1747424,133.7257362,,(0875)72-5329,,,,,7670011,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,176,,,,,
1000030018,高瀬高等学校,タカセコウトウガッコウ,,0008,香川県,三豊市,高瀬町下勝間,2093,,34.17787937,133.7113968,,(0875)72-5100,,,,,7670011,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,759,,,,,
1000030019,高瀬中学校,タカセチュウガッコウ,,0008,香川県,三豊市,高瀬町下勝間,2725-1,,34.18010974,133.7209419,,(0875)72-3161,,,,,7670011,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,305,,,,,
1000030020,高瀬町公民館勝間分館,タカセチョウコウミンカンカツマブンカン,,0008,香川県,三豊市,高瀬町下勝間,350-2,,34.17500811,133.726722,,(0875)72-0503,,,,,7670011,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,42,,,,,
1000030021,高瀬町体育館,タカセチョウタイイクカン,,0008,香川県,三豊市,高瀬町下勝間,2687-1,,34.18028057,133.7202347,,,,,,,7670011,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,218,,,,,
1000030022,みとよ未来創造館,ミトヨミライソウゾウカン,,0008,香川県,三豊市,高瀬町下勝間,2347-1,,34.1818928,133.7139479,,(0875)73-3051,,,,,7670011,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,231,,,,,
1000030023,高瀬町公民館比地二分館,タカセチョウコウミンカンヒジフタブンカン,,0011,香川県,三豊市,高瀬町比地,186,,34.17818907,133.6928305,,(0875)72-0504,,,,,7670004,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,57,,,,,
1000030024,比地小学校,ヒジショウガッコウ,,0011,香川県,三豊市,高瀬町比地,93-1,,34.1798688,133.6931892,,(0875)72-5213,,,,,7670004,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,204,,,,,
1000030025,高瀬Ｂ＆Ｇ海洋センター,タカセチョウビーアンドジーカイヨウセンター,,0012,香川県,三豊市,高瀬町比地中,2986-2,,34.17338664,133.7041038,,(0875)73-4700,,,,,7670003,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,355,,,,,
1000030026,粟島開発総合センター,アワシマカイハツソウゴウセンター,,0013,香川県,三豊市,詫間町粟島,861-17,,34.26933253,133.6339996,,,,,,,7691108,372081,香川県三豊市,1, , ,1,1,1,1,1,1,69,,,,,
1000030027,（旧）粟島小学校,キュウアワシマショウガッコウ,,0013,香川県,三豊市,詫間町粟島,1506-2,,34.26996596,133.6302082,,,,,,,7691108,372081,香川県三豊市,1,1,1, ,1,1,1,1,1,108,,,,,
1000030028,荘内自然休養村センター,ショウナイシゼンキュウヨソンセンター,,0014,香川県,三豊市,詫間町大浜,甲1891-1,,34.23388629,133.6090918,,(0875)83-6115,,,,,7691104,372081,香川県三豊市,1, ,1,1,1,1,1,1,1,102,,,,,
1000030029,香川高等専門学校詫間キャンパス,カガワコウトウセンモンガッコウタクマキャンパス,,0015,香川県,三豊市,詫間町香田,551,,34.23476801,133.6356423,,(0875)83-3141,,,,,7691103,372081,香川県三豊市,1, ,1,1,1,1,1,1,1,440,,,,,
1000030030,志々島老人いこいの家,シシジマロウジンイコイノイエ,,0016,香川県,三豊市,詫間町志々島,394-2,,34.27011616,133.6815171,,(0875)84-7001,,,,,7691109,372081,香川県三豊市,1, , ,, ,1,1,1,1,16,,,,,
