全国地方公共団体コード,法人番号,ID,地方公共団体名,イベント名,言語コード,イベント通称,サブタイトル,イベント名_カナ,イベント名_英語,コンテンツURL,状態,キーワード,タグ,対象となる産業,開催パターン,開始日,終了日,開始時間,終了時間,開始日時特記事項,所要時間,掲載開始日,掲載終了日,概要,説明,サブイベント,イベント種類,料金（基本）,料金（詳細）,連絡先名称,連絡先電話番号,連絡先内線番号,主催者,共催者,関連組織,対象者,対象者備考,場所名称,集合（受付）場所,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,アクセス方法,駐車場情報,駐車場料金,駐輪場情報,Web開催,Web開催URL,ツール・環境,定員,定員備考,料金種別,決済種別,外国語対応,外国語対応備考,開催条件,参加申込終了日,申込開始時刻,参加申込方法,申込開始日,申込開始時刻,申込URL,URL,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,画像,画像ライセンス,備考
372081,,1000120001,香川県三豊市,財田町文化祭,JA,財田町文化祭,,サイタチョウブンカサイ,,,,,,,毎年10月に開催,10月下旬の土曜日,10月下旬の日曜日,09:00,18:00,,,,,,財田町の文化祭です。,,文化祭,,,財田町公民館,(0875)67-0108,,文化協会財田支部,,,一般,,財田町公民館,,0001,香川県,三豊市,財田町財田上,2171-1,財田町公民館,34.11937528,133.7788773,,,無料,,無,,,,,無料,,,,,,,,,,,,,,,,,,,
372081,,1000120002,香川県三豊市,諶之丞まつり,JA,,,ジンノジョウマツリ,,,準備中,,,,毎年4月第1日曜開催,2023-04-02,2023-04-02,10:00,19:00,,,,,三豊市財田町が生んだ偉人・大久保諶之丞をたたえる祭り,四国新道の開発に心血を注ぎ、香川用水の導入や瀬戸大橋の構想を提唱するなど、香川県だけでなく四国の発展に尽くした彼の先見性・実行力をたたえて、毎年桜の咲く時期に「諶之丞まつり」が行われている。,,ステージショー、バザー、花火大会等,無料,,諶之丞まつり実行委員会事務局,(0875)67-3792,,諶之丞まつり実行委員会,,,,,財田町戸川ダム公園（三豊市財田町）、道の駅たからだの里さいた,,0001,香川県,三豊市,財田町財田上,180-6,,34.11001327,133.7979909,車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120003,香川県三豊市,水辺の納涼祭,JA,,,ミズベノノウリョウサイ,,,,,,,毎年8月第一日曜,,,12:00,20:30,,,,,香川用水記念公園で毎年夏に開催される、子供たちに大人気の納涼イベント。水と触れ合いながら楽しく遊び、水の大切さも学べる。,香川用水記念公園で毎年夏に開催される、子供たちに大人気の納涼イベント。水に関するクイズラリーやパネル展示で、水について楽しく学べる。ステージイベントでは音楽やダンス、キャラクターショーなども。各種物産展やグルメ屋台も出店。,,屋台、ステージパフォーマンス、花火大会等,無料,,香川用水記念公園,(0875)67-3760,,公益財団法人かがわ水と緑の財団・香川用水記念公園・水辺の納涼祭実行委員会,,,,,香川用水記念公園,公園入口,0002,香川県,三豊市,財田町財田中,2355,,34.09929948,133.7659601,車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120004,香川県三豊市,さぬき二ノ宮ふる里まつり,JA,,,サヌキニノミヤフルサトマツリ,,,,,,,毎年4，5月頃,,,,,,,,,新茶の季節に行われる、毎年恒例のふる里まつり,三豊市高瀬町は、香川県のお茶の生産高の半分を占めるお茶の町。そんな高瀬町の中でも、特に茶栽培が盛んな二ノ宮地区で開催される、毎年恒例のふる里まつり。,,ステージショー、屋台、新茶摘み体験等,無料,,高瀬茶業組合,(0875)74-6011,,二ノ宮ふる里まつり実行委員会,,,,,二ノ宮小学校グラウンド高瀬茶業組合周辺,,0006,香川県,三豊市,高瀬町佐股,1497-1,,34.15934766,133.7413362,シャトルバス,無し、三豊警察署前臨時駐車場よりシャトルバスを運行,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120005,香川県三豊市,朝日山森林公園秋まつり,JA,,,アサヒヤマシンリンコウエンアキマツリ,,,,,,,毎年11月3日,2023-11-03,2023-11-03,,,,,,,豊かな自然が四季折々の美しさを見せてくれる朝日山森林公園で、のんびりと高瀬の秋を満喫できる秋祭り,豊かな自然が四季折々の美しさを見せてくれる朝日山森林公園で、のんびりと高瀬の秋を満喫できる秋祭り。露店も出店して、地元の特産品などが販売される。獅子舞や案山子コンクールなども行われ、大人も子供も楽しめるイベント。,,屋台、獅子舞、案山子コンクール等,無料,,三豊市観光交流局,(0875)56-5880,,朝日山森林公園を守る会,,,,,朝日山森林公園,,0007,香川県,三豊市,高瀬町下麻,3829-141,,34.18032137,133.7608778,車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120006,香川県三豊市,高瀬町文化祭,JA,高瀬町文化祭,,タカセチョウブンカサイ,,,,,,,毎年11月に開催,11月上旬の土曜日,11月上旬の日曜日,09:00,16:00,,,,,,高瀬町の文化祭です。,,文化祭,,,文化協会高瀬支部(大井),(0875)72-5367,,文化協会高瀬支部,,,一般,,みとよ未来創造館,,0008,香川県,三豊市,高瀬町下勝間,2347-1,みとよ未来創造館,34.18200256,133.7140288,,,無料,,無,,,,,無料,,,,,,,,,,,,,,,,,,,
372081,,1000120007,香川県三豊市,たかせ夏まつり,JA,,,タカセナツマツリ,,,,,,,毎年7月最終土曜日,,,,,,,,,見て楽しい！ 参加して楽しい！ がコンセプトの夏祭り,見て楽しい！参加して楽しい！がコンセプトの、毎年恒例の夏祭り。見どころの１つは多種多様な路上パフォーマンスで、どれも賑やかで見応え十分。警察音楽隊や地元の学校の吹奏楽や和太鼓演奏、地元団体のダンスなども行われる。,,屋台、御神輿、路上パフォーマンス,無料,,まちづくり推進隊高瀬,(0875)73-3410,,たかせ夏まつり実行委員会 ,,,,,みとよ未来創造館及び周辺地域,,0008,香川県,三豊市,高瀬町下勝間,2347-1,,34.18221801,133.7138937,車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120008,香川県三豊市,瀬戸内シーサイドマルシェ,JA,,,セトウチシーサイドマルシェ,,,,,,,毎月第3日曜日,,,10:00,14:00,,,,,食べ物や飲み物、クラフト・雑貨や園芸植物など、潮風を感じながらお買い物ができるイベント,食べ物や飲み物、クラフト・雑貨や園芸植物など、潮風を感じながらお買い物ができるイベント,,屋台、フリーマーケット等,無料,,にんぎょい会たくま 郷の宿陶山,(0875)83-2350,,にんぎょい会たくま,,,,,浪打八幡宮参道周辺,,0017,香川県,三豊市,詫間町詫間,1376,,34.21968084,133.6714965,車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120009,香川県三豊市,詫間町文化祭,JA,詫間町文化祭,,タクマチョウブンカサイ,,,,,,,毎年11月に開催,11月上旬の土曜日,11月上旬の日曜日,09:00,17:00,,,,,,詫間町の文化祭です。,,文化祭,,,文化協会詫間支部,080-6281-8811,,文化協会詫間支部,,,一般,,三豊市文化会館(マリンウェーブ),,0017,香川県,三豊市,詫間町詫間,1338-127,三豊市文化会館(マリンウェーブ),34.2215387,133.6744676,,,無料,,無,,,,,無料,,,,,,,,,,,,,,,,,,,
372081,,1000120010,香川県三豊市,たくま港まつり,JA,港まつり,,タクマミナトマツリ,,,,,,,毎年8月第二土曜日,,,,,,,,,浦島太郎伝説の残る詫間町で開催される夏祭り,浦島太郎伝説の残る詫間町で開催される夏祭り。賑やかな踊りと、海上花火が堪能できるイベント。サンバうらしまのリズムに乗って踊る舞い舞サンバ踊りコンテストや、こども総踊りが行われる。,,屋台、路上パフォーマンス、ステージパフォーマンス、花火大会,無料,,たくま港まつり協賛会事務局,(0875)83-3654,,たくま港まつり協賛会,,,,,詫間町市民運動場野球場及び周辺地域,,0017,香川県,三豊市,詫間町詫間,,,34.22742593,133.6676117,車または電車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120011,香川県三豊市,三豊市人権・同和問題講演会,JA,,,ミトヨシジンケン・ドウワモンダイコウエンカイ,,,準備中,ミトヨシ;イベント;講演会;人権,,,毎年8月の指定する火曜日,2023-08-22,2023-08-22,14:00,15:30,,1:30,,,,市民一人ひとりに人権・同和問題について、より正しい理解と認識を深めてもらい、人権尊重意識の普及と高揚を図ります。,,,,,三豊市人権課,(0875)73-3008,,,,,市民・行政職員・教職員等,,三豊市文化会館(マリンウェーブ),マーガレットホール,0017,香川県,三豊市,詫間町詫間,1338-127,三豊市文化会館(マリンウェーブ),34.2215387,133.6744676,JR詫間駅から徒歩約25分,駐車スペース約180台,無料,あり,無,,,,,無料,,,,,,,,,,,,,,,,,,,
372081,,1000120012,香川県三豊市,三豊市二十歳の集い,JA,二十歳の集い,,ミトヨシハタチノツドイ,,,,,,,毎年成人の日の前の日曜に開催,2024-01-08,2024-01-08,14:00,16:30,開場13:00,,,,,二十歳としての門出を祝う記念式典です。,,二十歳の集い,無し,入場無料,三豊市生涯学習課,(0875)73-3135,,三豊市,,三豊市教育委員会,開催年度に20歳になる方,,三豊市文化会館(マリンウェーブ),,0017,香川県,三豊市,詫間町詫間,1338-127,三豊市文化会館(マリンウェーブ),34.2215387,133.6744676,,,無料,,有,,YouTubeにて限定配信,,,無料,,,,,,,,,,,,,,,,,,,
372081,,1000120013,香川県三豊市,箱裏マルシェ,JA,,,ハコウラマルシェ,,,,,,,,,,,,,,,,三豊の野菜、果物、鮮魚の販売、ワークショップをはじめ、おいしいものがたくさん勢ぞろいするイベント,三豊の野菜、果物、鮮魚の販売、ワークショップをはじめ、おいしいものがたくさん勢ぞろいするイベント,,屋台等,無料,,まちづくり推進隊詫間,(0875)83-3639,,まちづくり推進隊詫間,,,,,箱浦ビジターハウス周辺及び周辺駐車場,,0020,香川県,三豊市,詫間町箱,859-29,,34.25858952,133.5892478,車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120014,香川県三豊市,花火大会 (比地大地区),JA,,,ハナビタイカイ（ヒジダイチク）,,,,,,,毎年7月下旬,,,,,,,,,比地大（ひじだい）小学校グラウンドで開催される花火大会です。毎年7月末に開催されている、恒例のイベント,比地大（ひじだい）小学校グラウンドで開催され、毎年7月末に開催されている恒例のイベント。打ち上げ花火が始まる前には子供会七夕祭りが開催され、各自治会の子供会による歌や踊りが披露される。20時30分頃から打ち上げられる花火は打ち上げ場所が近く、ほぼ真上に上がる。,,屋台、花火大会等,無料,,,,,比地大花火大会実行委員会,,,,,比地大小学校,,0027,香川県,三豊市,豊中町比地大,2514-1,,34.16801317,133.6888622,車または電車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120015,香川県三豊市,弁天公園よろず市,JA,,,ベンテンコウエンヨロズイチ,,,,,,,雨天中止,,,,,,,,,野菜や花が中心で、新鮮な野菜を買い求めるのにピッタリ,野菜や花が中心で、新鮮な野菜を買い求めるのにピッタリ。また、買い物をするとお花をプレゼントされたりも。ほかにも地元の食材を使った飲食も出店する。,,屋台等,無料,,豊田さん,090-4333-3663,,弁天公園よろず市実行委員会,,,,,弁天農村公園,,0027,香川県,三豊市,豊中町比地大,,,,,車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120016,香川県三豊市,豊中町文化祭,JA,豊中町文化祭,,トヨナカチョウブンカサイ,,,,,,,毎年11月に開催,11月上旬の土曜日,11月上旬の日曜日,09:30,18:00,,,,,,豊中町の文化祭です。,,文化祭,,,豊中町公民館,(0875)32-1155,,文化協会豊中支部,,,一般,,三豊市市民交流センター,,0029,香川県,三豊市,豊中町本山甲,192-1,三豊市市民交流センター,34.14735001,133.6955387,,,無料,,無,,,,,無料,,,,,,,,,,,,,,,,,,,
372081,,1000120017,香川県三豊市,とよなか秋のまつり,JA,,,トヨナッカアキノマツリ,,,,,,,毎年10月中旬,,,,,,,,,豊中町内15台のちょうさ（太鼓台）が集結するイベント,ちょうさは香川県などで使用される太鼓台のことで、提灯や電飾なども使って豪華な装飾がされる。とよなか秋のまつりは豊中町内15台のちょうさ（太鼓台）が集結し、その美しさを競う。,,太鼓台,無料,,,,,とよなか秋のまつり実行委員会,,,,,ゆめタウン三豊（駐車場）,,0029,香川県,三豊市,豊中町本山甲,22,,34.14566411,133.7003008,車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120018,香川県三豊市,三豊市文化協会文化祭,JA,三豊市文化協会文化祭,,ミトヨシブンカキョウカイブンカサイ,,,,,,,毎年11月末～12月に開催,11月下旬～12月上旬の土曜日,11月下旬～12月上旬の日曜日,09:00,17:00,,,,,,三豊市文化協会の文化祭です。,,文化祭,,,三豊市文化協会,(0875)56-6251,,三豊市文化協会,,,一般,出展は三豊市文化協会会員のみ,市民交流センター,,0029,香川県,三豊市,豊中町本山甲,192-1,市民交流センター,34.14735001,133.6955387,,,無料,,無,,,,,無料,,,,,,,,,,,,,,,,,,,
372081,,1000120019,香川県三豊市,本山太鼓まつり,JA,,,モトヤマタイコマツリ,,,,,,,毎年10月中旬,,,,,,,,,豊中町本山地区のちょうさ（太鼓台）や獅子舞が、JA香川県豊中支所駐車場に集結するイベント,ちょうさは香川県などで使用される太鼓台のことで、提灯や電飾なども使って豪華な装飾がされる。本山太鼓まつりでは、地区内の獅子舞も集結し、華麗な獅子舞や、ちょうさの豪快な担ぎくらべなどが行われる。,,屋台、太鼓台、獅子舞等,無料,,,,,本山太鼓まつり実行委員会,,,,,ＪＡ香川県豊中支店駐車場,,0029,香川県,三豊市,豊中町本山甲,838,,34.14438484,133.6926305,車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120020,香川県三豊市,朝獲れ朝市,JA,,,アサドレアサイチ,,,現在休止中,,,,4月第3日曜、5月5日・第3日曜、6・7月第1・第3日曜、10月第4日曜、11月第1・第3日曜、12月第1日曜（日程変更あり）,,,,,,,,,仁尾の沖でその朝獲れたばかりの魚が格安で手に入る,仁尾の沖でその朝獲れたばかりの魚が格安で手に入る。プロのように魚を競り落とせる「せり」に参加も可能。,,朝市、競り等,無料,,仁尾町漁業協同組合,(0875)82-2016,,仁尾町漁業協同組合,,,,,仁尾漁協魚市場,,0031,香川県,三豊市,仁尾町仁尾,丁1444-1,,34.20545395,133.6383994,車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120021,香川県三豊市,仁尾町文化祭,JA,仁尾町文化祭,,ニオチョウブンカサイ,,,,,,,毎年11月に開催,11月上旬の土曜日,11月上旬の日曜日,09:00,18:00,,,,,,仁尾町の文化祭です。,,文化祭,,,文化協会仁尾支部(三野),(0875)82-2193,,文化協会仁尾支部,,,一般,,仁尾町体育センター,,0031,香川県,三豊市,仁尾町仁尾辛,34-1,仁尾町体育センター,34.19778403,133.6452487,,,無料,,無,,,,,無料,,,,,,,,,,,,,,,,,,,
372081,,1000120022,香川県三豊市,仁尾竜まつり,JA,竜まつり,,ニオリュウマツリ,,,,,,,毎年8月第一土曜日,,,,,,,,,稲わらと竹で作った長さ３５メートルの竜に水をかけて雨乞いをする伝統の祭,稲藁と竹で作った、全長約35mもの巨大な雨乞い竜が町を練り歩く。雨乞いの願いを込めて町の人々が、桶で次々と水をかける「水あぶせ」が最大の見所。他にも水鉄砲サバイバルゲームやウィータースライダーなど、水にまつわる企画もある。仁尾踊りや竜踊り、ソーランなどの各種踊りも披露される。,,屋台、ステージパフォーマンス、雨乞流の水あぶせ等,無料,,仁尾竜まつり実行委員会（三豊市市民センター仁尾内）,(0875)82-5208,,仁尾竜まつり実行委員会,,,,,市民センター仁尾（駐車場）及び周辺地域,,0031,香川県,三豊市,仁尾町仁尾,辛34-2,,34.19717204,133.6452688,車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120023,香川県三豊市,仁尾八朔人形まつり,JA,人形まつり,,ニオハッサクニンギョウマツリ,,,,,,,毎年9月下旬,,,,,,,,,町内のあちこちにたくさんの人形を飾り、子供の健やかな成長を願う行事,町内のあちこちにたくさんの人形を飾り、子供の健やかな成長を願う行事。ただ展示するだけでなく、歴史的な場面やおとぎ話の一場面を再現する珍しいイベント。石や砂、草木などを使った本格的なジオラマも作られる。,,屋台、人形展示,無料,,,,,仁尾八朔人形まつり実行委員会,,,,,三豊市仁尾町内,,0031,香川県,三豊市,仁尾町,,,,,車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120024,香川県三豊市,弥谷市,JA,弥谷さん,,イヤダニイチ,,,令和5年度は中止,,,,毎年3月21日（春分の日）に開催,2023-03-21,2023-03-21,10:00,15:00,,,,,各種バザーやフリーマーケットのほか、さまざまなイベントが催される。,四国霊場第71番札所である弥谷寺の法会に参拝する多くの人たちを対象に市が立ったことに由来している。当日は、町の名産品や農産物の販売をはじめ、各種バザーやフリーマーケットのほか、さまざまなイベントが催される。,,フリーマーケット、獅子舞等,無料,,まちづくり推進隊みの,(0875)73-6228,,弥谷市実行委員会,,,,,弥谷山ふれあい森広場,,0032,香川県,三豊市,三野町大見,,,34.22662553,133.7214254,車,,無料,,無,,,,,,,,,,,,,,,,,,,有,無,有,,,
372081,,1000120025,香川県三豊市,津嶋神社夏季大祭,JA,津島さん,,ツシマジンジャカキタイサイ,,,,,,,毎年8月4日・5日に開催,2023-08-04,2023-08-05,06:00,22:00,,,,,子どもの神様として知られる津嶋神社の夏祭り,本殿が無人島にある津嶋神社の夏祭り。年に2日間、祭りの日のみ連絡橋が開通する。子どもの神様と知られ、県内外からたくさんの参拝客が訪れる。4日20時からは花火も上がる。,,獅子舞、神楽、御祈祷、花火、屋台等,無料,渡橋料：大人500円、小学生200円、幼児無料,津嶋神社,(0875)73-5463,,津嶋神社,,三野町イベント推進協議会、三豊市観光交流局,,,津嶋神社,,0032,香川県,三豊市,三野町大見,7463,,34.2416064,133.7029631,車または電車,臨時駐車場が点在しているが、たくさんはないため電車がおすすめ,無料,,無,,,,,,,,,,,,,,,,http：//www.tsushima－jinja.com/index.html,有,有,有,無,有,,,
