全国地方公共団体コード,ID,地方公共団体名,種別,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,口径,備考
372081,1000140001,香川県三豊市,河川・溝等,,香川県,三豊市,,,,34.11780027,133.7317466,,川
372081,1000140002,香川県三豊市,河川・溝等,,香川県,三豊市,,,,34.12202175,133.7431053,,川
372081,1000140003,香川県三豊市,河川・溝等,,香川県,三豊市,,,,34.12095278,133.7363361,,川
372081,1000140004,香川県三豊市,河川・溝等,,香川県,三豊市,,,,34.12549736,133.7459812,,川
372081,1000140005,香川県三豊市,河川・溝等,,香川県,三豊市,,,,34.14018389,133.7087422,,川
372081,1000140006,香川県三豊市,河川・溝等,,香川県,三豊市,,,,34.21477969,133.6990653,,川
372081,1000140007,香川県三豊市,河川・溝等,,香川県,三豊市,,,,34.11884347,133.7998199,,川
372081,1000140008,香川県三豊市,河川・溝等,,香川県,三豊市,,,,34.11911959,133.7895275,,川
372081,1000140009,香川県三豊市,河川・溝等,,香川県,三豊市,,,,34.12168939,133.7820939,,川
372081,1000140010,香川県三豊市,河川・溝等,,香川県,三豊市,,,,34.11366651,133.7675818,,川
372081,1000140011,香川県三豊市,河川・溝等,,香川県,三豊市,,,,34.12053645,133.7471752,,川
372081,1000140012,香川県三豊市,河川・溝等,,香川県,三豊市,,,,34.10934238,133.7624392,,川
372081,1000140013,香川県三豊市,海・湖,,香川県,三豊市,,,,34.23792156,133.6912676,,海;水出埋立
372081,1000140014,香川県三豊市,海・湖,,香川県,三豊市,,,,34.2460902,133.6711458,,海
372081,1000140015,香川県三豊市,海・湖,,香川県,三豊市,,,,34.23688152,133.6566038,,海
372081,1000140016,香川県三豊市,海・湖,,香川県,三豊市,,,,34.23675288,133.6201155,,海
372081,1000140017,香川県三豊市,海・湖,,香川県,三豊市,,,,34.23377112,133.6042864,,海
372081,1000140018,香川県三豊市,海・湖,,香川県,三豊市,,,,34.22067757,133.6170493,,海
372081,1000140019,香川県三豊市,海・湖,,香川県,三豊市,,,,34.26341166,133.5746847,,海
372081,1000140020,香川県三豊市,濠・池等,,香川県,三豊市,,,,34.10397693,133.7116613,,池
372081,1000140021,香川県三豊市,消火栓,,香川県,三豊市,,,,34.17102763,133.7975669,100,地下式消火栓
372081,1000140022,香川県三豊市,消火栓,,香川県,三豊市,,,,34.14652461,133.8147517,50,地下式消火栓
372081,1000140023,香川県三豊市,消火栓,,香川県,三豊市,,,,34.1385331,133.8125833,50,地下式消火栓
372081,1000140024,香川県三豊市,消火栓,,香川県,三豊市,,,,34.13511268,133.8146232,75,地下式消火栓
372081,1000140025,香川県三豊市,消火栓,,香川県,三豊市,,,,34.13393354,133.814143,100,地下式消火栓
372081,1000140026,香川県三豊市,消火栓,,香川県,三豊市,,,,34.12722711,133.808907,150,地下式消火栓
372081,1000140027,香川県三豊市,消火栓,,香川県,三豊市,,,,34.13246737,133.8149117,150,地下式消火栓
372081,1000140028,香川県三豊市,消火栓,,香川県,三豊市,,,,34.12312755,133.8047641,150,地下式消火栓
372081,1000140029,香川県三豊市,消火栓,,香川県,三豊市,,,,34.11391667,133.7997964,75,地下式消火栓
372081,1000140030,香川県三豊市,消火栓,,香川県,三豊市,,,,34.11730582,133.7984057,150,地下式消火栓
372081,1000140031,香川県三豊市,消火栓,,香川県,三豊市,,,,34.27677898,133.6284876,50,地下式消火栓
372081,1000140032,香川県三豊市,消火栓,,香川県,三豊市,,,,34.27615754,133.6282961,50,地下式消火栓
372081,1000140033,香川県三豊市,消火栓,,香川県,三豊市,,,,34.27638643,133.6291806,50,地下式消火栓
372081,1000140034,香川県三豊市,消火栓,,香川県,三豊市,,,,34.10734545,133.8004849,75,地下式消火栓
372081,1000140035,香川県三豊市,消火栓,,香川県,三豊市,,,,34.11085318,133.7979978,100,地下式消火栓
372081,1000140036,香川県三豊市,消火栓,,香川県,三豊市,,,,34.27849947,133.6490106,75,地下式消火栓
372081,1000140037,香川県三豊市,消火栓,,香川県,三豊市,,,,34.27763261,133.6518648,75,地下式消火栓
372081,1000140038,香川県三豊市,消火栓,,香川県,三豊市,,,,34.27266221,133.6752594,39,地下式消火栓
372081,1000140039,香川県三豊市,消火栓,,香川県,三豊市,,,,34.27192632,133.6305352,75,地下式消火栓
372081,1000140040,香川県三豊市,消火栓,,香川県,三豊市,,,,34.27374271,133.6282873,75,地下式消火栓
372081,1000140041,香川県三豊市,消火栓,,香川県,三豊市,,,,34.27206436,133.6370578,75,地下式消火栓
372081,1000140042,香川県三豊市,消火栓,,香川県,三豊市,,,,34.27200587,133.6427026,100,地下式消火栓
372081,1000140043,香川県三豊市,消火栓,,香川県,三豊市,,,,34.2747496,133.6507275,75,地下式消火栓
372081,1000140044,香川県三豊市,消火栓,,香川県,三豊市,,,,34.12524178,133.7963676,75,地下式消火栓
372081,1000140045,香川県三豊市,消火栓,,香川県,三豊市,,,,34.11026828,133.7987963,75,地下式消火栓
372081,1000140046,香川県三豊市,消火栓,,香川県,三豊市,,,,34.10683667,133.7961041,75,地下式消火栓
372081,1000140047,香川県三豊市,消火栓,,香川県,三豊市,,,,34.1755352,133.8011834,75,地下式消火栓
372081,1000140048,香川県三豊市,消火栓,,香川県,三豊市,,,,34.12017242,133.8131629,100,地下式消火栓
372081,1000140049,香川県三豊市,消火栓,,香川県,三豊市,,,,34.12008795,133.8123434,100,地下式消火栓
372081,1000140050,香川県三豊市,消火栓,,香川県,三豊市,,,,34.12347441,133.8068672,75,地下式消火栓
372081,1000140051,香川県三豊市,消火栓,,香川県,三豊市,,,,34.11998085,133.8086223,100,地下式消火栓
372081,1000140052,香川県三豊市,消火栓,,香川県,三豊市,,,,34.16416537,133.7980696,75,地下式消火栓
372081,1000140053,香川県三豊市,消火栓,,香川県,三豊市,,,,34.11904801,133.8005207,150,地下式消火栓
372081,1000140054,香川県三豊市,消火栓,,香川県,三豊市,,,,34.12117513,133.8022963,150,地下式消火栓
372081,1000140055,香川県三豊市,,,香川県,三豊市,,,,34.12078828,133.7277853,,0
372081,1000140056,香川県三豊市,プール,0001,香川県,三豊市,財田町財田上,695-4,,34.11849567,133.8016475,,プール;財田上小学校プール
372081,1000140057,香川県三豊市,プール,0001,香川県,三豊市,財田町財田上,2782-1,,34.12470927,133.7780682,,プール;和光中学校プール
372081,1000140058,香川県三豊市,井戸,0001,香川県,三豊市,財田町財田上,2626-3,,34.12305083,133.7755616,,井戸
372081,1000140059,香川県三豊市,河川・溝等,0001,香川県,三豊市,財田町財田上,6174-7地先,,34.13330014,133.8150672,,川
372081,1000140060,香川県三豊市,河川・溝等,0001,香川県,三豊市,財田町財田上,6993-1地先,,34.1237497,133.8107309,,川
372081,1000140061,香川県三豊市,河川・溝等,0001,香川県,三豊市,財田町財田上,7018-1地先,,34.12199748,133.8133985,,川
372081,1000140062,香川県三豊市,河川・溝等,0001,香川県,三豊市,財田町財田上,1207-14地先,,34.11226865,133.7944343,,川
372081,1000140063,香川県三豊市,河川・溝等,0001,香川県,三豊市,財田町財田上,48-2地先,,34.10671647,133.8000191,,川
372081,1000140064,香川県三豊市,河川・溝等,0001,香川県,三豊市,財田町財田上,3767地先,,34.1217039,133.7908693,,川
372081,1000140065,香川県三豊市,河川・溝等,0001,香川県,三豊市,財田町財田上,3678-1地先,,34.12249897,133.7866877,,川
372081,1000140066,香川県三豊市,河川・溝等,0001,香川県,三豊市,財田町財田上,2303-22地先,,34.12027116,133.7724217,,川
372081,1000140067,香川県三豊市,河川・溝等,0001,香川県,三豊市,財田町財田上,1500-10,,34.11901129,133.7775534,,川
372081,1000140068,香川県三豊市,河川・溝等,0001,香川県,三豊市,財田町財田上,1727-1地先,,34.11658413,133.7908002,,川
372081,1000140069,香川県三豊市,濠・池等,0001,香川県,三豊市,財田町財田上,5398-2,,34.14928962,133.8128167,,池
372081,1000140070,香川県三豊市,濠・池等,0001,香川県,三豊市,財田町財田上,5738-1,,34.14283156,133.8124701,,池
372081,1000140071,香川県三豊市,濠・池等,0001,香川県,三豊市,財田町財田上,4636-1,,34.13000635,133.8028842,,池
