所管課,全国地方公共団体コード,ID,名称,名称（カナ）,名称（英字）,説明,緯度,経度,座標参照系,座標参照系コード,ゴミ種類,地区名,ゴミ収集日,自治体のページURL,注意事項
環境衛生課,372081,100002100001,朝日,アサヒ,Asahi,,34.1109312,133.766860,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100002,荒戸上,アラトカミ,Aratokami,,34.1174840,133.813612,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100003,荒戸下,アラトシモ,Aratoshimo,,34.1199309,133.813392,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100004,石野上,イシノカミ,Ishinokami,,34.1117465,133.799142,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100005,石野下,イシノシモ,Ishinoshimo,,34.1132499,133.792446,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100006,石野下,イシノシモ,Ishinoshimo,,34.1159424,133.796141,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100007,泉平,イズミダイラ,Izumidaira,,34.1079095,133.761590,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100008,芋尾,イモオ,Imoo,,34.1221733,133.804433,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100009,入樋,イルヒ,Iruhi,,34.1057221,133.750360,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100010,入樋,イルヒ,Iruhi,,34.0975651,133.750648,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100011,入樋,イルヒ,Iruhi,,34.0986527,133.750748,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100012,入樋,イルヒ,Iruhi,,34.0903597,133.751266,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100013,大野地,オオノジ,Oonoji,,34.1119415,133.764362,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100014,我久,ガク,Gaku,,34.1199876,133.772684,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100015,雉子尾,キジオ,Kijio,,34.1151086,133.790891,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100016,雉子尾,キジオ,Kijio,,34.1059370,133.794485,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100017,北地上,キタジカミ,Kitajikami,,34.1210295,133.790916,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100018,北地下,キタジシモ,Kitajishimo,,34.1259506,133.781696,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100019,北地下,キタジシモ,Kitajishimo,,34.1224354,133.781665,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100020,北地下,キタジシモ,Kitajishimo,,34.1280969,133.782506,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100021,北地中,キタジナカ,Kitajinaka,,34.1227929,133.786748,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100022,北野,キタノ,Kitano,,34.1116116,133.771017,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100023,北原,キタバラ,Kitabara,,34.1174582,133.764345,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100024,帰来,キライ,Kirai,,34.1242362,133.814947,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100025,久保の下,クボノシタ,Kubonoshita,,34.1185803,133.785509,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100026,久保の下,クボノシタ,Kubonoshita,,34.1201673,133.786124,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100027,久保の下,クボノシタ,Kubonoshita,,34.1161325,133.782734,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100028,黒川,クロガワ,Kurogawa,,34.1349322,133.813567,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100029,山才,サンザイ,Sannzai,,34.1358717,133.785904,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100030,山王,サンノウ,Sannnou,,34.1238084,133.778375,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100031,山王,サンノウ,Sannnou,,34.1232831,133.775597,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100032,戸川,トガワ,Togawa,,34.1058328,133.799486,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100033,長野,ナガノ,Nagano,,34.1062269,133.763432,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
環境衛生課,372081,100002100034,中元,ナカモト,Nakamoto,,34.1115571,133.770929,,,可燃;プラ容器;紙製容器;缶類;ペットボトル;びん類;不燃;金属;有害,財田町,毎週月・火・水・金、第３木,https://www.city.mitoyo.lg.jp/kakuka/shiminkankyou/eisei/2/1/1499.html,
