所管課,全国地方公共団体コード,ID,名称,名称（カナ）,名称（英字）,説明,緯度,経度,座標参照系,座標参照系コード,投票所区分,投票区名,
選挙管理委員会,372081,100001800001,三豊市立上高瀬幼稚園遊戯室,,,,34.192350,133.725426,,,投票所,第1投票区,
選挙管理委員会,372081,100001800002,三豊市役所西館大会議室,,,,34.182699,133.714840,,,投票所・期日前投票所,第2投票区・三豊市役所期日前投票所,
選挙管理委員会,372081,100001800003,三豊市高瀬町公民館勝間分館,,,,34.174992,133.726709,,,投票所,第3投票区,
選挙管理委員会,372081,100001800004,三豊市高瀬町公民館比地二分館,,,,34.178195,133.692793,,,投票所,第4投票区,
選挙管理委員会,372081,100001800005,三豊市高瀬町二ノ宮農業構造改善センター,,,,34.16006,133.73827,,,投票所,第5投票区,
選挙管理委員会,372081,100001800006,三豊市立麻小学校ランチルーム,,,,34.176214,133.768134,,,投票所,第6投票区,
選挙管理委員会,372081,100001800007,三豊市山本庁舎２階大会議室,,,,34.117905,133.725673,,,投票所・期日前投票所,第7投票区・三豊市第２期日前投票所,
選挙管理委員会,372081,100001800008,旧三豊市立河内小学校職員室,,,,34.101038,133.734894,,,投票所,第8投票区,
選挙管理委員会,372081,100001800009,三豊市山本町財田大野農業構造改善センター,,,,34.12186,133.728019,,,投票所,第9投票区,
選挙管理委員会,372081,100001800010,三豊市山本町神田定住促進センター,,,,34.142306,133.771074,,,投票所,第10投票区,
選挙管理委員会,372081,100001800011,三豊市地域交流館大見,,,,34.216893,133.713954,,,投票所,第11投票区,
選挙管理委員会,372081,100001800012,三豊市三野町生涯学習センター,,,,34.202645,133.706275,,,投票所,第12投票区,
選挙管理委員会,372081,100001800013,三豊市三野町公民館吉津分館,,,,34.198622,133.688426,,,投票所,第13投票区,
選挙管理委員会,372081,100001800014,三豊市立桑山小学校屋内運動場,,,,34.154257,133.681509,,,投票所,第14投票区,
選挙管理委員会,372081,100001800015,三豊市豊中町公民館比地大分館,,,,34.167751,133.688269,,,投票所,第15投票区,
選挙管理委員会,372081,100001800016,三豊市豊中町公民館笠田分館,,,,34.157702,133.707839,,,投票所,第16投票区,
選挙管理委員会,372081,100001800017,三豊市上高野文化センター会議室,,,,34.143707,133.708631,,,投票所,第17投票区,
選挙管理委員会,372081,100001800018,三豊市豊中町農村環境改善センター研修室,,,,34.147407,133.696085,,,投票所,第18投票区,
選挙管理委員会,372081,100001800019,三豊市詫間町松崎コミュニティセンター,,,,34.221073,133.693285,,,投票所,第19投票区,
選挙管理委員会,372081,100001800020,三豊市詫間ふれあい交流館,,,,34.218059,133.677646,,,投票所,第20投票区,
選挙管理委員会,372081,100001800021,三豊市立詫間幼稚園遊戯室,,,,34.225787,133.666610,,,投票所,第21投票区,
選挙管理委員会,372081,100001800022,三豊市立須田保育所遊戯室,,,,34.233959,133.656866,,,投票所,第22投票区,
選挙管理委員会,372081,100001800023,三豊市詫間町大浜老人いこいの家,,,,34.237662,133.615915,,,投票所,第23投票区,
選挙管理委員会,372081,100001800024,生里会館,,,,34.251276,133.580297,,,投票所,第24投票区,
選挙管理委員会,372081,100001800025,三豊市粟島開発総合センター,,,,34.269294,133.633940,,,投票所,第25投票区,
選挙管理委員会,372081,100001800026,三豊市詫間町志々島老人いこいの家,,,,34.270133,133.681522,,,投票所,第26投票区,
選挙管理委員会,372081,100001800027,三豊市立曽保小学校屋内運動場,,,,34.174381,133.651178,,,投票所,第27投票区,
選挙管理委員会,372081,100001800028,三豊市仁尾庁舎２階会議室つたじま,,,,34.197095,133.645435,,,投票所,第28投票区,
選挙管理委員会,372081,100001800029,三豊市仁尾町文化会館多目的ホール,,,,34.200704,133.646102,,,投票所,第29投票区,
選挙管理委員会,372081,100001800030,家の浦自治会集会場,,,,34.217376,133.626286,,,投票所,第30投票区,
選挙管理委員会,372081,100001800031,黒川公民館,,,,34.135088,133.813455,,,投票所,第31投票区,
選挙管理委員会,372081,100001800032,旧三豊市立財田上小学校職員室,,,,34.118977,133.801432,,,投票所,第32投票区,
選挙管理委員会,372081,100001800033,三豊市財田庁舎ホール,,,,34.119283,133.778682,,,投票所,第33投票区,
選挙管理委員会,372081,100001800034,三豊市財田町防災センター,,,,34.108278,133.761276,,,投票所,第34投票区,
選挙管理委員会,372081,100001800035,三豊市文化会館マリンウェーブ,,,,34.221661,133.674366,,,期日前投票所,三豊市第3期日前投票所,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
