全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,種別,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,高度の種別,高度の値,アクセス情報,駐車場情報,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,子供預かり料金種別,子供預かり料金,子供預かり料金備考,子供預かり開所時間,子供預かり閉所時間,病児保育の有無,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像ライセンス,備考
372081,1000050001,香川県三豊市,財田こども園,サイタコドモエン,Saita Children's Center,認定こども園（幼保連携型）,0001,香川県,三豊市,財田町財田上,1417-1,財田こども園,34.11846038,133.7774522,,,,,(0875)67-2160,,(0875)67-2511,,,,7690401,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050002,香川県三豊市,財田放課後児童クラブ,サイタホウカゴジドウクラブ,Saita after-school activity,,0001,香川県,三豊市,財田町財田上,2361-1,,34.11652087,133.7715638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050003,香川県三豊市,麻放課後児童クラブ,アサホウカゴジドウクラブ,Asa after-school activity,,0003,香川県,三豊市,高瀬町上麻,3868,,34.1763138,133.7680266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050004,香川県三豊市,麻幼稚園,アサヨウチエン,Asa Kindergarten,公立幼稚園,0003,香川県,三豊市,高瀬町上麻,3865,麻幼稚園,34.17559553,133.7683808,,,,,(0875)74-6016,,(0875)74-6005,,,,7670014,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050005,香川県三豊市,上高瀬放課後児童クラブ,カミタカセホウカゴジドウクラブ,Kamitakase after-school activity,,0005,香川県,三豊市,高瀬町上高瀬,783-2,,34.19249502,133.7260336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050006,香川県三豊市,上高瀬幼稚園,カミタカセヨウチエン,Kamitakase Kindergarten,公立幼稚園,0005,香川県,三豊市,高瀬町上高瀬,785-1,上高瀬幼稚園,34.1922887,133.7254263,,,,,(0875)72-4925,,(0875)72-4929,,,,7670001,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050007,香川県三豊市,白井病院内託児所,シライビョウインナイタクジショ,,認可外保育所,0005,香川県,三豊市,高瀬町上高瀬,1339,白井病院内託児所,34.18761429,133.7180853,,,,,(0875)72-3131,,(0875)72-3134,,,,7670001,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050008,香川県三豊市,スマはぴ 丘の上station,スマハピ オカノウエステーション,,認定こども園（幼保連携型）,0005,香川県,三豊市,高瀬町上高瀬,2024-2,幼保連携型認定こども園 スマはぴ丘の上station,34.185308,133.7294095,,,,,(0875)72-0083,,(0875)72-0087,,,,7670001,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050009,香川県三豊市,二ノ宮放課後児童クラブ,ニノミヤホウカゴジドウクラブ,Ninomiya after-school activity,,0006,香川県,三豊市,高瀬町佐股,甲3343-4,,34.16012156,133.738346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050010,香川県三豊市,二ノ宮幼稚園,ニノミヤヨウチエン,Ninomiya Kindergarten,公立幼稚園,0006,香川県,三豊市,高瀬町佐股,甲1508-1,二ノ宮幼稚園,34.15821921,133.7414638,,,,,(0875)74-6333,,(0875)74-6420,,,,7670021,,,,,,,,,,,,,,,,,,,,,,,,,
