全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,多目的トイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬・聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像ライセンス,備考
372081,1000010001,香川県三豊市,財田診療所,サイタシンリョウショ,Saita Clinic,サイタシンリョウショ,1602,0001,香川県,三豊市,財田町財田上,1448番地1,,34.11918,133.77802,,,(0875)67-3800,,kenkou@city.mitoyo.lg.jp,,,7690401,7000020372081,三豊市,月火水木金,09:00,17:00,土日、祝日、年末年始は休診、月水木の午後は休診,,有,有,無,有,無,無,無,無,無,有,無,無,無,有,無,無,有,,,,
372081,1000010002,香川県三豊市,財田診療所医師住宅,サイタシンリョウショイシジュウタク, Doctor's Residence of Saita Clinic,財田診療所医師住宅,0401,0001,香川県,三豊市,財田町財田上,1448番地3,,34.11849099,133.7788588,,,,,kenkou@city.mitoyo.lg.jp,,,7690401,7000020372081,三豊市,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000010003,香川県三豊市,財田診療所第２医師住宅,サイタシンリョウショダイニイシジュウタク,Second Doctor's Residence of Saita Clinic,財田診療所第２医師住宅,0401,0001,香川県,三豊市,財田町財田上,1448番地3,,34.11849099,133.7788588,,,,,kenkou@city.mitoyo.lg.jp,,,7690401,7000020372081,三豊市,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000010004,香川県三豊市,財田町公民館,サイタチョウコウミンカン,,,1307,0001,香川県,三豊市,財田町財田上,2171-1,,34.11937528,133.7788773,,,(0875)67-0108,,,,,7690401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000010005,香川県三豊市,財田町公民館図書室,サイタチョウコウミンカントショシツ,,,1512,0001,香川県,三豊市,財田町財田上,2171-1,,34.11937528,133.7788773,,,(0875)67-0108,,,,,7690401,,,火水木金土日,09:30,18:00,,,,,,,,,,,,,,,,,,,,,,,
372081,1000010006,香川県三豊市,財田町国保高齢者保健福祉支援センター,サイタチョウコクホコウレイシャホケンフクシシエンセンター,Saita Health and Welfare Support Center for the Elderly founded by National Health Insurance,財田町国保高齢者保健福祉支援センター,1499,0001,香川県,三豊市,財田町財田上,2141番地,,34.11896,133.77834,,,(0875)67-0115,,kenkou@city.mitoyo.lg.jp,,,7690401,7000020372081,三豊市,月火水木金,08:30,17:15,祝日、年末年始は休館,,有,有,無,無,有,有,有,有,無,有,有,無,無,無,有,無,無,,,,
372081,1000010007,香川県三豊市,財田町水防倉庫,サイタチョウスイボウソウコ,,,2204,0001,香川県,三豊市,財田町財田上,2361-11,,34.11607513,133.7725042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000010008,香川県三豊市,財田町総合運動公園,サイタチョウソウゴウウンドウコウエン,,,1106,0001,香川県,三豊市,財田町財田上,2361-1,,34.1163987,133.7710905,,,(0875)67-3721,,,,,,,,火水木金土日,08:30,22:00,月曜祝日の場合は開館・翌日が休み,,有,無,無,有,無,無,無,無,無,無,有,無,無,無,無,無,無,,,,
372081,1000010009,香川県三豊市,財田町農産加工実習室,サイタチョウノウサンカコウジッシュウシツ,Saita-cho practical room of agricultural processing,,1305,0001,香川県,三豊市,財田町財田上,2171番地1,,34.11937528,133.7788773,,,,,,,,7690401,,三豊市,月火水木金土日,08:30,22:00,12/29～1/3は終日利用不可。,,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,,,,
372081,1000010010,香川県三豊市,財田B＆G海洋センター,サイタビーアンドジーカイヨウセンター,,,1110,0001,香川県,三豊市,財田町財田上,2361-1,,34.1163987,133.7710905,,,(0875)67-3721,,,,,,,,火水木金土日,08:30,22:00,月曜祝日の場合は開館・翌日が休み,,有,有,無,有,無,無,無,無,無,無,有,無,無,無,無,無,無,,,,
372081,1000010011,香川県三豊市,財田方面隊第１分団１部屯所,サイタホウメンタイダイイチブンダンイチブトンショ,,,2299,0001,香川県,三豊市,財田町財田上,5952-1,,34.13941103,133.8113576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000010012,香川県三豊市,財田方面隊第１分団３部屯所,サイタホウメンタイダイイチブンダンサンブトンショ,,,2299,0001,香川県,三豊市,財田町財田上,3487-2,,34.12277758,133.7808948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000010013,香川県三豊市,財田方面隊第１分団２部屯所,サイタホウメンタイダイイチブンダンニブトンショ,,,2299,0001,香川県,三豊市,財田町財田上,6458-4,,34.12738083,133.8079658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000010014,香川県三豊市,財田方面隊第３分団１部屯所,サイタホウメンタイダイサンブンダンイチブトンショ,,,2299,0001,香川県,三豊市,財田町財田上,2165-1,,34.11987478,133.7786688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000010015,香川県三豊市,財田方面隊第３分団２部屯所,サイタホウメンタイダイサンブンダンニブトンショ,,,2299,0001,香川県,三豊市,財田町財田上,1707-3,,34.11433329,133.7909797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000010016,香川県三豊市,財田方面隊第２分団１部屯所,サイタホウメンタイダイニブンダンイチブトンショ,,,2299,0001,香川県,三豊市,財田町財田上,130-1,,34.11142107,133.7990179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000010017,香川県三豊市,財田方面隊第２分団２部屯所,サイタホウメンタイダイニブンダンニブトンショ,,,2299,0001,香川県,三豊市,財田町財田上,7143-9,,34.12003745,133.813296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000010018,香川県三豊市,たからだの里「環の湯」,タカラダノサト　タマキノユ,,,,0001,香川県,三豊市,財田町財田上,1110番地8,,34.108511,133.796318,,,(0875)67-2614,,,,FAX:0875-67-2600,7690401,,,火水木金土日,10:00,21:00,月曜日が祝日の場合営業、翌火曜日は休館,,無,無,無,有,有,無,無,無,無,有,有,無,無,無,有,無,有,https://takaradanosato.co.jp,,,
372081,1000010019,香川県三豊市,たからだの里「物産館」,タカラダノサト　ブッサンカン,,,,0001,香川県,三豊市,財田町財田上,180番地6,,34.110082,133.798032,,,(0875)67-3883,,,,FAX:0875-67-3888,7690401,,,火水木金土日,08:00,18:00,月曜日が祝日の場合営業,,有,無,有,有,有,有,無,無,無,有,有,有,無,有,有,無,有,https://takaradanosato.co.jp,,,
372081,1000010020,香川県三豊市,たからだの里「ふるさと伝承館」,タカラダノサト　フルサトデンショウカン,,,,0001,香川県,三豊市,財田町財田上,1110番地4,,34.109648,133.796762,,,(0875)67-3883,,,,FAX:0875-67-3888,7690401,,,火水木金土日,09:00,18:00,月曜日が祝日の場合営業,,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,https://takaradanosato.co.jp,,,
372081,1000010021,香川県三豊市,たからだの里「湯の谷荘」,タカラダノサト　ユノタニソウ,,,,0001,香川県,三豊市,財田町財田上,1110番地5,,34.109603,133.796243,,,(0875)67-3926,,,,FAX:0875-67-2600,7690401,,,火水木金土日,,,月曜日が祝日の場合営業、翌火曜日は休館,チェックイン：15：00～、チェックアウト：～10：00,有,無,無,無,無,無,無,無,無,無,有,無,無,無,有,無,有,https://takaradanosato.co.jp,,,
372081,1000010022,香川県三豊市,たからだの里搭重山公園,タカラダノサトトウジュウヤマコウエン,Takaradanosato Tojuyama park,,1003,0001,香川県,三豊市,財田町財田上,7880番地,,34.10299742,133.7927593,,,,,,,,7680401,,三豊市,月火水木金土日,00:00,23:59,,,有,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,,,,
372081,1000010023,香川県三豊市,戸川ダム公衆トイレ,トガワダムコウシュウトイレ,,,2101,0001,香川県,三豊市,財田町財田上,1110-35,,34.10787065,133.7969341,,,,,,,,7690401,,,月火水木金土日,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,
