全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像ライセンス,備考
372081,1000130001,香川県三豊市,たからだの里さいた,タカラダノサトサイタ,,0001,香川県,三豊市,財田町財田上,180番地6,,物産館となり,34.110298,133.798558,,,3,2,0,1,2,0,2,0,0,0,0,無,無,無,00:00,23:59,24時間利用可能,,,
372081,1000130002,香川県三豊市,たからだの里さいた,タカラダノサトサイタ,,0001,香川県,三豊市,財田町財田上,180番地6,,物産館裏側,34.109996,133.79775,,,3,2,0,1,2,0,2,0,0,0,0,無,無,無,00:00,23:59,24時間利用可能,,,
372081,1000130003,香川県三豊市,戸川ダム公衆トイレ,トガワダムコウシュウトイレ,,0001,香川県,三豊市,財田町財田上,1110-35,,戸川ダム公園そば,34.10787065,133.7969341,,,5,3,1,0,2,2,0,0,0,0,0,無,無,無,00:00,23:59,24時間利用可能,,,
372081,1000130004,香川県三豊市,朝日山森林公園,アサヒヤマシンリンコウエン,,0007,香川県,三豊市,高瀬町下麻,3829-188,,公園内5か所,34.18051074,133.7617679,,,8,5,3,0,6,6,0,1,0,1,1,有,無,無,00:00,23:59,24時間利用可能,,,
372081,1000130005,香川県三豊市,爺神公園,トカミコウエン,,0012,香川県,三豊市,高瀬町比地中,5150-3,,公園内,34.18575284,133.7054191,,,1,1,0,0,0,0,0,1,0,1,1,有,無,無,00:00,23:59,24時間利用可能,,,
372081,1000130006,香川県三豊市,粟島中新田公衆トイレ,アワシマナカシンデンコウシュウトイレ,,0013,香川県,三豊市,詫間町粟島,525-2,,馬城神社そば,34.27203229,133.6398121,,,2,1,1,0,1,1,0,0,0,0,0,無,無,無,00:00,23:59,24時間利用可能,,,
372081,1000130007,香川県三豊市,大浜バス停公衆トイレ,オオハマバステイコウシュウトイレ,,0014,香川県,三豊市,詫間町大浜,甲1243-3,,コミュニティバス停そば,34.23387963,133.6104637,,,2,1,1,0,2,2,0,1,0,1,1,有,無,無,00:00,23:59,24時間利用可能,,,
372081,1000130008,香川県三豊市,紫雲出山山頂第一駐車場,シウデヤマサンチョウチュウシャジョウ,,0014,香川県,三豊市,詫間町大浜,乙451番地1,,山頂第一駐車場横,34.242862,133.599246,,,4,2,0,2,4,0,4,0,0,0,0,無,無,無,00:00,23:59,24時間利用可能,,,
372081,1000130009,香川県三豊市,紫雲出山登山口公衆トイレ,シウデヤマトザングチコウシュウトイレ,,0014,香川県,三豊市,詫間町大浜,乙444-5先,,県道大浜仁尾線の登山口,34.23817692,133.59392,,,2,1,1,0,2,2,0,0,0,0,0,無,無,無,00:00,23:59,24時間利用可能,,,
372081,1000130010,香川県三豊市,名部戸公衆トイレ,ナブトコウシュウトイレ,,0014,香川県,三豊市,詫間町大浜,甲2428-18,,コミュニティバス停そば,34.22133195,133.6181252,,,2,1,1,0,2,2,0,0,0,0,0,無,無,無,00:00,23:59,24時間利用可能,,,
