全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,POIコード,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,高度の種別,高度の値,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,車椅子可,車椅子貸出,ツエ貸出,多目的トイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬・聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,画像,画像ライセンス,URL,備考
372081,,1000110001,香川県三豊市,たからだの里「環の湯」,タカラダノサト　タマキノユ,,,0001,香川県,三豊市,財田町財田上,1110番地8,,34.108511,133.796318,,,火水木金土日,10:00,21:00,月曜日が祝日の場合営業、翌火曜日は休館,大人　520円、子ども310円、シルバー・障がい者　420円,施設HP参照：https://takaradanosato.co.jp/event_cate/tamakinoyu/,,,さぬき豊中ICから車で約20分,約50台,否,否,無,有,有,無,無,無,無,有,有,無,無,無,有,無,有,,(0875)67-2614,,,,FAX:0875-67-2600,7690401,,,,
372081,,1000110002,香川県三豊市,たからだの里「物産館」,タカラダノサト　ブッサンカン,,,0001,香川県,三豊市,財田町財田上,180番地6,,34.110082,133.798032,,,火水木金土日,08:00,18:00,月曜日が祝日の場合営業,,,,,さぬき豊中ICから車で約20分,約90台,可,否,有,有,有,有,無,無,無,有,有,有,無,有,有,無,有,,(0875)67-3883,,,,FAX:0875-67-3888,7690401,,,,
372081,,1000110003,香川県三豊市,たからだの里「ふるさと伝承館」,タカラダノサト　フルサトデンショウカン,,,0001,香川県,三豊市,財田町財田上,1110番地4,,34.109648,133.796762,,,火水木金土日,09:00,18:00,月曜日が祝日の場合営業,,,,,さぬき豊中ICから車で約20分,,否,否,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,,(0875)67-3883,,,,FAX:0875-67-3888,7690401,,,,
372081,,1000110004,香川県三豊市,たからだの里「湯の谷荘」,タカラダノサト　ユノタニソウ,,,0001,香川県,三豊市,財田町財田上,1110番地5,,34.109603,133.796243,,,火水木金土日,,,月曜日が祝日の場合営業、翌火曜日は休館,"1名利用　平日6,000円、金土日祝6,500円",施設HP参照：https://takaradanosato.co.jp/yunotani/,チェックイン：15：00～、チェックアウト：～10：00,,さぬき豊中ICから車で約20分,約10台,可,否,無,無,無,無,無,無,無,無,有,無,無,無,有,無,有,,(0875)67-3926,,,,FAX:0875-67-2600,7690401,,,,
372081,,1000110005,香川県三豊市,たかせ天然温泉,タカセテンネンオンセン,,,0005,香川県,三豊市,高瀬町上高瀬,768番地1,,34.194653,133.729707,,,月火水木金土日,10:00,23:00,毎月第2火曜日定休、祝日の場合は翌水曜日,一般　630円、子ども310円、シニア・障がい者　520円,施設HP参照：https://www.souyu.co.jp/shisetsu/takase#price,,,三豊鳥坂ICから1km,約200台,可,可,無,無,有,無,無,無,無,有,有,無,無,無,有,無,有,,(0875)73-3726,,,,FAX:0875-56-2581,7670001,,,,
372081,,1000110006,香川県三豊市,粟島海洋記念館,アワシマカイヨウキネンカン,,,0013,香川県,三豊市,詫間町粟島,1541番地1,,34.268484,133.63182,,,月水木金土日,,,臨時休館,,,,,①三豊鳥坂ICから車で約20分→須田港から定期船で約15分　②JR詫間駅よりコミュニティバスで約20分→須田港から定期船で約15分,須田港に約20台,否,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,,(0875)84-7884,,,,,7691108,,,,
372081,,1000110007,香川県三豊市,粟島芸術家村,アワシマゲイジュツカムラ,,,0013,香川県,三豊市,詫間町粟島,1311番地1,,34.269936,133.631837,,,土,13:00,16:00,土曜以外は閉館,,,,,①三豊鳥坂ICから車で約20分→須田港から定期船で約15分　②JR詫間駅よりコミュニティバスで約20分→須田港から定期船で約15分,須田港に約20台,否,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,,(0875)73-3012,,,,,7691108,,,,
372081,,1000110008,香川県三豊市,漂流郵便局,ヒョウリュウユウビンキョク,,,0013,香川県,三豊市,詫間町粟島,1317番地2,,34.270379,133.631708,,,土,13:00,16:00,第2・第4土曜以外は閉局,,,,,①三豊鳥坂ICから車で約20分→須田港から定期船で約15分　②JR詫間駅よりコミュニティバスで約20分→須田港から定期船で約15分,須田港に約20台,否,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,,(0875)73-3012,,,,,7691108,,,,
372081,,1000110009,香川県三豊市,ル・ポール粟島,ル・ポールアワシマ,,,0013,香川県,三豊市,詫間町粟島,1418番地2,,34.268876,133.631712,,,月水木金土日,11:30,14:00,ランチタイムの時間、火曜日定休,"1名利用 13,800円～、2名利用 11,800円～",施設HP参照：https://le-port.jp/,チェックイン：16：00～、チェックアウト：～10：00,,①三豊鳥坂ICから車で約20分→須田港から定期船で約15分　②JR詫間駅よりコミュニティバスで約20分→須田港から定期船で約15分,須田港に約10台,可,否,無,無,有,無,無,有,無,無,無,無,無,無,無,無,有,,(0875)84-7878,,,,,7691108,,,,
372081,1470005005632,1000110010,香川県三豊市,不動の滝カントリーパーク,フドウノタキカントリーパーク,,1003,0022,香川県,三豊市,豊中町岡本,3566-23,,34.14855135,133.6736621,,,月火水木金土日,00:00,23:59,パットゴルフ場利用については、月曜日以外9時から17時まで利用可能。,パットゴルフ場利用料金,1人(1回)＝300円,公園施設、パットゴルフ、不動の滝を目的に訪れる方が多数いる。また、春には桜、秋には紅葉の美しい景観を見ることができる。,,JR予讃線　本山駅より車で約5分(約1.5㎞)、徒歩約15分(約1.5㎞),40台駐車可能,可,無,無,無,無,無,無,有,無,無,無,無,無,無,有,無,有,三豊市豊中コミュニティセンター,(0875)62-5205,,,,,7691507,,,https://mitoyo-machidukuri-toyonaka.com,
