都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
372048,0000000001,香川県,善通寺市,善通寺市役所,ゼンツウジシヤクショ,香川県善通寺市文京町2-1-1,,34.227198,133.787147,１階ロビー,(0877)62-2121,,8000020372048,善通寺市,月火水木金,08:30,17:15,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000002,香川県,善通寺市,善通寺市民会館,ゼンツウジシミンカイカン,香川県善通寺市文京町3-3-1,,34.227343,133.783622,管理事務所,(0877)62-7001,,8000020372048,善通寺市,月水木金土日,09:00,21:00,土日月 17:00まで,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000003,香川県,善通寺市,善通寺市総合会館　社会福祉協議会,ゼンツウジシソウゴウカイカン　シャカイフクシキョウギカイ,香川県善通寺市文京町2-1-4,,34.227163,133.788348,管理事務所,(0877)63-6324,,8000020372048,善通寺市,月水木金土日,09:00,22:00,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000004,香川県,善通寺市,善通寺市鉢伏ふれあい公園グランド,ゼンツウジシハチブセフレアイコウエングランド,香川県善通寺市与北町2055-1,,34.229926,133.805483,管理事務所,(0877)64-0633,,8000020372048,善通寺市,月火水木金土日,08:00,21:00,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000005,香川県,善通寺市,西中学校,ニシチュウガッコウ,香川県善通寺市文京町4-1-1,,34.223348,133.78047,職員室運動場側出入口,(0877)62-2340,,8000020372048,善通寺市,月火水木金,08:00,16:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000006,香川県,善通寺市,東中学校,ヒガシチュウガッコウ,香川県善通寺市生野本町2-14-1,,34.225636,133.786771,体育館入口,(0877)62-2360,,8000020372048,善通寺市,月火水木金,08:00,16:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000007,香川県,善通寺市,東部公民館,トウブコウミンカン,香川県善通寺市稲木町380-3,,34.23584,133.783518,玄関先,(0877)62-5684,,8000020372048,善通寺市,火水木金土日,08:30,22:00,閉館時は利用不可,無,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000008,香川県,善通寺市,西部公民館,セイブコウミンカン,香川県善通寺市善通寺町1146,,34.220978,133.773526,玄関先,(0877)63-2391,,8000020372048,善通寺市,火水木金土日,08:30,22:00,閉館時は利用不可,無,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000009,香川県,善通寺市,南部公民館,ナンブコウミンカン,香川県善通寺市大麻町1306-1,,34.209977,133.803267,玄関先,(0877)62-5685,,8000020372048,善通寺市,火水木金土日,08:30,22:00,閉館時は利用不可,無,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000010,香川県,善通寺市,竜川公民館,タツカワコウミンカン,香川県善通寺市原田町1433-1,,34.250145,133.784808,玄関先,(0877)62-0602,,8000020372048,善通寺市,火水木金土日,08:30,22:00,閉館時は利用不可,無,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000011,香川県,善通寺市,与北公民館,ヨギタコウミンカン,香川県善通寺市与北町1245-2,,34.23329,133.80791,玄関先,(0877)62-0601,,8000020372048,善通寺市,火水木金土日,08:30,22:00,閉館時は利用不可,無,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000012,香川県,善通寺市,筆岡公民館,フデオカコウミンカン,香川県善通寺市弘田町288,,34.23767,133.76275,玄関先,(0877)62-0603,,8000020372048,善通寺市,火水木金土日,08:30,22:00,閉館時は利用不可,無,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000013,香川県,善通寺市,吉原公民館,ヨシワラコウミンカン,香川県善通寺市吉原町1569-1,,34.22761,133.75254,玄関先,(0877)62-0604,,8000020372048,善通寺市,火水木金土日,08:30,22:00,閉館時は利用不可,無,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000014,香川県,善通寺市,中央公民館,チュウオウコウミンカン,香川県善通寺市善通寺町6-10-25,,34.22934,133.77627,玄関先,(0877)62-4969,,8000020372048,善通寺市,火水木金土日,08:30,22:00,閉館時は利用不可,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000015,香川県,善通寺市,善通寺市民体育館,ゼンツウジシミンタイイクカン,香川県善通寺市金蔵寺町398-6,,34.23895,133.79252,管理事務所前,(0877)62-7400,,8000020372048,善通寺市,月火水木金土日,09:00,21:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000016,香川県,善通寺市,善通寺市民プール,ゼンツウジシミンプール,香川県善通寺市金蔵寺町398-6,,34.23834,133.79139,管理事務所,(0877)62-7400,,8000020372048,善通寺市,,,,7月21日～8月28日 10:00～18:00,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
