都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
372048,1,香川県,善通寺市,おしゃべり広場,オシャベリヒロバ,,香川県善通寺市上吉田町2-1-9,,34.228673,133.784673,善通寺市,(0877)63-6363,,freespot=securitypassword(AES),,,
372048,2,香川県,善通寺市,観光交流センター,カンコウコウリュウセンター,,香川県善通寺市善通寺町2-8-23,,34.226821,133.778628,善通寺市,(0877)63-6363,,KAGAWA-WiFi,,,
372048,3,香川県,善通寺市,鉢伏ふれあい公園　管理棟,ハチブセフレアイコウエン　カンリトウ,,香川県善通寺市与北町1705,,34.229003,133.805017,善通寺市,(0877)63-6363,,KAGAWA-WiFi,,,
372048,4,香川県,善通寺市,鉢伏ふれあい公園　グラウンド,ハチブセフレアイコウエン　グラウンド,,香川県善通寺市与北町2055-1,,34.230079,133.805522,善通寺市,(0877)63-6363,,KAGAWA-WiFi,,,
372048,5,香川県,善通寺市,旧善通寺偕行社　付属棟,キュウゼンツウジカイコウシャ　フゾクトウ,,香川県善通寺市文京町2-1-1,,34.227813,133.788048,善通寺市,(0877)63-6363,,KAGAWA-WiFi,,,
372048,6,香川県,善通寺市,善通寺市立図書館,ゼンツウジシリツトショカン,,香川県善通寺市文京町2-1-1,,34.227219,133.787136,善通寺市,(0877)63-6363,,Zentsuji Tosyokan,,,
372048,7,香川県,善通寺市,善通寺市民会館,ゼンツウジシミンカイカン,,香川県善通寺市文京町3-3-1,,34.227533,133.783558,善通寺市,(0877)63-6363,,KAGAWA-WiFi,ロビー,,
372048,8,香川県,善通寺市,「善通寺五岳の里」市民集いの丘公園,ゼンツウジゴガクノサトシミンツドイノオカコウエン,,香川県善通寺市吉原町918-1,,34.222125,133.757701,善通寺市,(0877)63-8753,,KAGAWA-WiFi,エントランス,,
372048,9,香川県,善通寺市,中央公民館,チュウオウコウミンカン,,香川県善通寺市善通寺町6-10-25,,34.230191,133.776124,善通寺市,(0877)62-4969,,Zentsuji_City_Wi-Fi,,,
372048,10,香川県,善通寺市,東部公民館,トウブコウミンカン,,香川県善通寺市稲木町380-3,,34.236025,133.783511,善通寺市,(0877)62-5684,,Zentsuji_City_Wi-Fi,,,
372048,11,香川県,善通寺市,西部公民館,セイブコウミンカン,,香川県善通寺市善通寺町1146,,34.221178,133.773502,善通寺市,(0877)63-2391,,Zentsuji_City_Wi-Fi,,,
372048,12,香川県,善通寺市,南部公民館,ナンブコウミンカン,,香川県善通寺市大麻町1306-1,,34.210177,133.803273,善通寺市,(0877)62-5685,,Zentsuji_City_Wi-Fi,,,
372048,13,香川県,善通寺市,竜川公民館,タツカワコウミンカン,,香川県善通寺市原田町1433-1,,34.250344,133.784783,善通寺市,(0877)62-0602,,Zentsuji_City_Wi-Fi,,,
372048,14,香川県,善通寺市,与北公民館,ヨギタコウミンカン,,香川県善通寺市与北町1245-2,,34.233482,133.808007,善通寺市,(0877)62-0601,,Zentsuji_City_Wi-Fi,,,
372048,15,香川県,善通寺市,筆岡公民館,フデオカコウミンカン,,香川県善通寺市弘田町288,,34.237891,133.762797,善通寺市,(0877)62-0603,,Zentsuji_City_Wi-Fi,,,
372048,16,香川県,善通寺市,吉原公民館,ヨシワラコウミンカン,,香川県善通寺市吉原町1569-1,,34.227765,133.752339,善通寺市,(0877)62-0604,,Zentsuji_City_Wi-Fi,,,
372048,17,香川県,善通寺市,ZENキューブ,ゼンキューブ,,香川県善通寺市文京町2-1-4,,34.227345,133.788384,善通寺市,(0877)63-6324,,zencube-wifi,１階,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
