市町村コード,ため池コード番号,名称,名称_カナ,都道府県,市区町村,住所,担当課,堤高(m),堤頂長(m),総貯水量(千m3),緯度,経度,ハザードマップ作成状況：作成の状況,ため池ＨＭ・浸水想定区域図　ＵＲＬ
372030,372030001,玉川池,タマガワイケ,香川県,坂出市,坂出市王越町木沢字東山335,坂出市農林水産課,16.8,151,125,34.36611111,133.92805556,○,https://www.city.sakaide.lg.jp/uploaded/attachment/6607.pdf
372030,372030002,真元池,サネモトイケ,香川県,坂出市,坂出市青海町1101,坂出市農林水産課,7.2,330,150,34.34388889,133.91805556,○,https://www.city.sakaide.lg.jp/uploaded/attachment/6610.pdf
372030,372030003,鞍谷池,クラタニイケ,香川県,坂出市,坂出市高屋町2049,坂出市農林水産課,15,100,110,34.32888889,133.92194444,○,https://www.city.sakaide.lg.jp/uploaded/attachment/6610.pdf
372030,372030004,四手池,シデイケ,香川県,坂出市,坂出市府中町字四手2781,坂出市農林水産課,10.1,175,500,34.27611111,133.91000000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/6611.pdf
372030,372030005,鎌田池（下池）,カマダ,香川県,坂出市,坂出市小山町353,坂出市農林水産課,6.6,710,453.3,34.30194444,133.85111111,○,https://www.city.sakaide.lg.jp/uploaded/attachment/6712.pdf
372030,372030006,貯水池（上池）,チョスイチ,香川県,坂出市,坂出市小山町318,坂出市農林水産課,3.9,212,140,34.29388889,133.85388889,〇,https://www.city.sakaide.lg.jp/uploaded/attachment/6609.pdf
372030,372030007,新池,シンイケ,香川県,坂出市,坂出市川津町奥1819,坂出市農林水産課,13.2,143,102,34.29888889,133.87500000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/6609.pdf
372030,372030008,奥池,オクイケ,香川県,坂出市,坂出市川津町奥1822,坂出市農林水産課,13.2,165,233.08,34.29888889,133.87694444,○,https://www.city.sakaide.lg.jp/uploaded/attachment/6609.pdf
372030,372030010,奧池上池,オクイケウワイケ,香川県,坂出市,坂出市大屋冨町2305,坂出市農林水産課,8.6,107,31.4,34.35388889,133.91000000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/10250.pdf
372030,372030011,奥池下池,オクイケシタイケ,香川県,坂出市,坂出市大屋冨町2304,坂出市農林水産課,8.5,84,8.8,34.35305556,133.90888889,○,https://www.city.sakaide.lg.jp/uploaded/attachment/10250.pdf
372030,372030012,ハス池,ハスイケ,香川県,坂出市,坂出市川津町5808,坂出市農林水産課,2.4,598,50,34.28500000,133.84194444,,https://www.city.sakaide.lg.jp/uploaded/attachment/25024.pdf
372030,372030014,坂折池,サカオリイケ,香川県,坂出市,坂出市林田町字雄山2516,坂出市農林水産課,5.2,74,7,34.33611111,133.89500000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25025.pdf
372030,372030016,サラ池,サライケ,香川県,坂出市,坂出市王越町木沢字山田1196,坂出市農林水産課,6.6,108,10.1,34.36694444,133.91611111,,https://www.city.sakaide.lg.jp/uploaded/attachment/25026.pdf
372030,372030019,下峰池,シモミネイケ,香川県,坂出市,坂出市王越町2000,坂出市農林水産課,13,55,18,34.37194444,133.89500000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25027.pdf
372030,372030030,宝池,タカライケ,香川県,坂出市,坂出市府中町字松岡1494,坂出市農林水産課,9.5,58,85,34.28805556,133.93611111,○,https://www.city.sakaide.lg.jp/uploaded/attachment/10249.pdf
372030,372030032,上所上池,ジョウショウワイケ,香川県,坂出市,坂出市府中町字前谷上所33,坂出市農林水産課,6.2,103,18,34.30000000,133.93611111,,https://www.city.sakaide.lg.jp/uploaded/attachment/25028.pdf
372030,372030033,上所下池,ジョウショシタイケ,香川県,坂出市,坂出市府中町字前谷上所34,坂出市農林水産課,8.2,136,21,34.30000000,133.93694444,,https://www.city.sakaide.lg.jp/uploaded/attachment/25029.pdf
372030,372030035,耕地整理池,コウチセイリイケ,香川県,坂出市,坂出市府中町字額大猿3392-8,坂出市農林水産課,16,93,49.3,34.28500000,133.89888889,,https://www.city.sakaide.lg.jp/uploaded/attachment/25030.pdf
372030,372030036,新池,シンイケ,香川県,坂出市,坂出市府中町字西山4681,坂出市農林水産課,7.2,126,12,34.29194444,133.91111111,,https://www.city.sakaide.lg.jp/uploaded/attachment/25031.pdf
372030,372030037,廣谷池,ヒロタニイケ,香川県,坂出市,坂出市府中町字北谷4755,坂出市農林水産課,11.5,107,35,34.29500000,133.90888889,,https://www.city.sakaide.lg.jp/uploaded/attachment/24930.pdf
372030,372030038,宮池,ミヤイケ,香川県,坂出市,坂出市加茂町字杉尾202,坂出市農林水産課,6,60,2.5,34.30305556,133.92388889,,https://www.city.sakaide.lg.jp/uploaded/attachment/25032.pdf
372030,372030039,亀池,カメイケ,香川県,坂出市,坂出市加茂町字杉尾122,坂出市農林水産課,6,156.6,9,34.30194444,133.92111111,○,https://www.city.sakaide.lg.jp/uploaded/attachment/14995.pdf
372030,372030041,大正池,タイショウイケ,香川県,坂出市,坂出市大屋冨町3074,坂出市農林水産課,9.3,83,1,34.35458333,133.90369444,,https://www.city.sakaide.lg.jp/uploaded/attachment/25086.pdf
372030,372030044,六ツ林池,ムツバヤシイケ,香川県,坂出市,坂出市青海町甲1255,坂出市農林水産課,6.2,232,33.7,34.34694444,133.91194444,○,https://www.city.sakaide.lg.jp/uploaded/attachment/14996.pdf
372030,372030047,鈴木下池,スズキシタイケ,香川県,坂出市,坂出市王越町木沢字山田1744,坂出市農林水産課,6.5,74,1.6,34.36600000,133.91600000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25033.pdf
372030,372030049,三番池,サンバンイケ,香川県,坂出市,坂出市王越町乃生字東分848,坂出市農林水産課,6,18,5,34.36700000,133.91100000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/11922.pdf
372030,372030050,通池,トオリイケ,香川県,坂出市,坂出市王越町乃生字東分811,坂出市農林水産課,5.8,108,3.9,34.36600000,133.91100000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25034.pdf
372030,372030052,西ノ池,ニシノイケ,香川県,坂出市,坂出市王越町乃生字寺山302,坂出市農林水産課,6.6,95,5.5,34.37100000,133.90400000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25035.pdf
372030,372030053,小原清池,オバラキヨイケ,香川県,坂出市,坂出市青海町1132,坂出市農林水産課,6.3,84,4,34.34600000,133.92000000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25087.pdf
372030,372030054,新池,シンイケ,香川県,坂出市,坂出市青海町663,坂出市農林水産課,6.3,80,2,34.34500000,133.92200000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25088.pdf
372030,372030056,綾井池,アヤイイケ,香川県,坂出市,坂出市高屋町2019,坂出市農林水産課,6.2,105,5.4,34.33200000,133.91200000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25089.pdf
372030,372030059,馬伴池,ババンイケ,香川県,坂出市,坂出市加茂町字杉尾3,坂出市農林水産課,4,55,2,34.29900000,133.92500000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25036.pdf
372030,372030060,奥池,オクイケ,香川県,坂出市,坂出市府中町字深谷770,坂出市農林水産課,8.2,84,4,34.29900000,133.93300000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25090.pdf
372030,372030064,赤尾池,アカオイケ,香川県,坂出市,坂出市府中町字松岡1489,坂出市農林水産課,4.4,85,28,34.29000000,133.93500000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/10249.pdf
372030,372030065,セビ池,セビイケ,香川県,坂出市,坂出市府中町字鳩穴6086-185地先,坂出市農林水産課,8,66,13,34.28700000,133.93700000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/10249.pdf
372030,372030067,新開池,シンガイイケ,香川県,坂出市,坂出市府中町3004,坂出市農林水産課,7,60,5,34.27500000,133.90700000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25091.pdf
372030,372030068,南新池,ミナミシンイケ,香川県,坂出市,坂出市府中町字迯田下所4536,坂出市農林水産課,6.8,65,5,34.28600000,133.90300000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25037.pdf
