全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
372030,1,坂出小学校,サカイデショウガッコウ,,372030,,香川県坂出市白金町1-3-7,香川県,坂出市白金町1-3-7,,,,34.31395,133.84613,,(0877)46-2124,,,,,,372030,香川県坂出市,,1,,1,,1,1,,1,,,,,,
372030,2,坂出工業高等学校　心技館,サカイデコウギョウコウトウガッコウ　シンギカン,,372030,,香川県坂出市御供所町1-1-2,香川県,坂出市御供所町1-1-2,,,,34.31808,133.84198,,(0877)46-5191,,,,,,372030,香川県坂出市,,1,,1,,1,,,1,,,,,,
372030,3,坂出商業高等学校　新体育館,サカイデショウギョウコウトウガッコウ　シンタイイクカン,,372030,,香川県坂出市青葉町1-13,香川県,坂出市青葉町1-13,,,,34.30648,133.85357,,(0877)46-5671,,,,,,372030,香川県坂出市,,1,1,1,1,1,1,,1,,,,,,
372030,4,坂出高等学校　新体育館,サカイデコウトウガッコウ　シンタイイクカン,,372030,,香川県坂出市文京町2-1-5,香川県,坂出市文京町2-1-5,,,,34.30943,133.85322,,(0877)46-5125,,,,,,372030,香川県坂出市,,1,,1,,1,,,1,,,,,,
372030,5,坂出第一高等学校　体育館・武道場,サカイデダイイチコウトウガッコウ　タイイクカン・ブドウジョウ,,372030,,香川県坂出市駒止町2-1-3,香川県,坂出市駒止町2-1-3,,,,34.3099,133.85558,,(0877)46-2157,,,,,,372030,香川県坂出市,,1,,1,,1,,,1,,,,,,
372030,6,南部公民館,ナンブコウミンカン,,372030,,香川県坂出市池園町3-46,香川県,坂出市池園町3-46,,,,34.30547,133.85269,,(0877)46-5480,,,,,,372030,香川県坂出市,,1,1,1,1,1,1,,,,,,,,
372030,7,中央体育館,チュウオウタイイクカン,,372030,,香川県坂出市寿町3-1-2,香川県,坂出市寿町3-1-2,,,,34.31705,133.85014,,(0000)00-0000,,,,,,372030,香川県坂出市,,1,,1,,1,,,1,,,,,,
372030,8,市民ふれあい会館,シミンフレアイカイカン,,372030,,香川県坂出市本町1-2-1,香川県,坂出市本町1-2-1,,,,34.31324,133.8516,,(0877)44-5070,,,,,,372030,香川県坂出市,1,1,1,1,,1,1,,1,,,,,,優先開設
372030,9,坂出市立体育館,サカイデシリツタイイクカン,,372030,,香川県坂出市入船町2-1-59,香川県,坂出市入船町2-1-59,,,,34.32326,133.8578,,(0877)45-6670,,,,,,372030,香川県坂出市,1,1,,1,,,1,,1,,,,,,
372030,10,東部小学校,トウブショウガッコウ,,372030,,香川県坂出市室町1-1-21,香川県,坂出市室町1-1-21,,,,34.31446,133.86145,,(0877)46-0234,,,,,,372030,香川県坂出市,,1,,1,,1,,,1,,,,,,
