全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,設置者,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,SSID,提供エリア,URL,備考
372030,,0000000001,香川県坂出市,坂出市役所,サカイデシヤクショ,,372030,,香川県坂出市室町2-3-5,香川県,坂出市室町2-3-5,,,,34.316675,133.860297,坂出市政策部公民連携・DX推進課,0877-44-5080,,,,,,,ロビー,https://www.city.sakaide.lg.jp/,
372030,,0000000002,香川県坂出市,林田出張所,ハヤシダシュッチョウショ,,372030,,香川県坂出市林田町636-5,香川県,坂出市林田町636-5,,,,34.327252,133.89081,坂出市政策部公民連携・DX推進課,0877-44-5080,,,,,,,ロビー,https://www.city.sakaide.lg.jp/,
372030,,0000000003,香川県坂出市,松山出張所,マツヤマシュッチョウショ,,372030,,香川県坂出市高屋町1100-1,香川県,坂出市高屋町1100-1,,,,34.339181,133.907895,坂出市政策部公民連携・DX推進課,0877-44-5080,,,,,,,ロビー,https://www.city.sakaide.lg.jp/,
372030,,0000000004,香川県坂出市,加茂出張所,カモシュッチョウショ,,372030,,香川県坂出市加茂町645-7,香川県,坂出市加茂町645-7,,,,34.309157,133.91018,坂出市政策部公民連携・DX推進課,0877-44-5080,,,,,,,図書室,https://www.city.sakaide.lg.jp/,
372030,,0000000005,香川県坂出市,府中出張所,フチュウシュッチョウショ,,372030,,香川県坂出市府中町1145-6,香川県,坂出市府中町1145-6,,,,34.290274,133.919166,坂出市政策部公民連携・DX推進課,0877-44-5080,,,,,,,ロビー,https://www.city.sakaide.lg.jp/,
372030,,0000000006,香川県坂出市,川津出張所,カワツシュッチョウショ,,372030,,香川県坂出市川津町4939,香川県,坂出市川津町4939,,,,34.291781,133.851601,坂出市政策部公民連携・DX推進課,0877-44-5080,,,,,,,ロビー,https://www.city.sakaide.lg.jp/,
372030,,0000000007,香川県坂出市,王越出張所,オウゴシシュッチョウショ,,372030,,香川県坂出市王越町木沢1197-8,香川県,坂出市王越町木沢1197-8,,,,34.366449,133.916087,坂出市政策部公民連携・DX推進課,0877-44-5080,,,,,,,ロビー,https://www.city.sakaide.lg.jp/,
372030,,0000000008,香川県坂出市,与島出張所,ヨシマシュッチョウショ,,372030,,香川県坂出市与島町102,香川県,坂出市与島町102,,,,34.384992,133.822665,坂出市政策部公民連携・DX推進課,0877-44-5080,,,,,,,全室,https://www.city.sakaide.lg.jp/,30分制限
372030,,0000000009,香川県坂出市,西庄公民館,ニシノショウコウミンカン,,372030,,香川県坂出市西庄町456-9,香川県,坂出市西庄町456-9,,,,34.317195,133.888857,坂出市政策部公民連携・DX推進課,0877-44-5080,,,,,,,ロビー,https://www.city.sakaide.lg.jp/,
372030,,0000000010,香川県坂出市,南部公民館,ナンブコウミンカン,,372030,,香川県坂出市池園町3-46,香川県,坂出市池園町3-46,,,,34.305462,133.85269,坂出市政策部公民連携・DX推進課,0877-44-5080,,,,,,,ロビー,https://www.city.sakaide.lg.jp/,
372030,,0000000011,香川県坂出市,坂出市民ふれあい会館,サカイデシミンフレアイカイカン,,372030,,香川県坂出市本町1-2-1,香川県,坂出市本町1-2-1,,,,34.313229,133.851601,坂出市政策部公民連携・DX推進課,0877-44-5080,,,,,,,ロビー,https://www.city.sakaide.lg.jp/,
