都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
373249,0000000001,香川県,小豆島町,蒲生分団消防屯所,ｶﾓｳﾌﾞﾝﾀﾞﾝｼｮｳﾎﾞｳﾄﾝｼｮ,香川県小豆郡小豆島町蒲生甲1792-1,,34.483968,134.208781,屯所内,,,,,,,,,有,,
373249,0000000002,香川県,小豆島町,蒲生公民館,ｶﾓｳｺｳﾐﾝｶﾝ,香川県小豆郡小豆島町蒲生甲1805-1,,34.483491,134.210754,正面玄関事務室付近,(0879)75-0007,,,,月火水木金土,08:30,17:00,日、祝日、1月2日～3日、12月29日～31日は利用不可,有,,17時以降は利用団体があれば開錠
373249,0000000003,香川県,小豆島町,セブン-イレブン小豆島池田店,ｾﾌﾞﾝ-ｲﾚﾌﾞﾝｼｮｳﾄﾞｼﾏｲｹﾀﾞﾃﾝ,香川県小豆郡小豆島町蒲生甲1451,,34.483071,134.212539,店舗内,(0879)75-2122,,,,月火水木金土日,00:00,00:00,24時間営業。店舗事情により、営業時間の変更や休業になる場合あり。,有,,
373249,0000000004,香川県,小豆島町,池田小学校,ｲｹﾀﾞｼｮｳｶﾞｯｺｳ,香川県小豆郡小豆島町池田1760,,34.479595,134.236458,いくた緑教室前の廊下,(0879)75-2222,,,,月火水木金,08:00,16:30,土・日、祝日、長期休暇中は不可,有,,
373249,0000000005,香川県,小豆島町,池田分団消防屯所,ｲｹﾀﾞﾌﾞﾝﾀﾞﾝｼｮｳﾎﾞｳﾄﾝｼｮ,香川県小豆郡小豆島町池田2063-3,,34.482851,134.233244,屯所内,,,,,,,,,有,,
373249,0000000006,香川県,小豆島町,イマージュセンター（池田公民館）,ｲﾏｰｼﾞｭｾﾝﾀｰ(ｲｹﾀﾞｺｳﾐﾝｶﾝ),香川県小豆郡小豆島町池田2124,,34.483807,134.234362,正面玄関事務室付近,(0879)75-0600,,,,月火水木金土日,08:30,17:00,年末年始（12月29日～1月3日）は利用不可,有,,17時以降は利用団体があれば開錠
373249,0000000007,香川県,小豆島町,中山分団消防屯所,ﾅｶﾔﾏﾌﾞﾝﾀﾞﾝｼｮｳﾎﾞｳﾄﾝｼｮ,香川県小豆郡小豆島町中山1874-3,,34.50244,134.24691,屯所内,,,,,,,,,有,,
373249,0000000008,香川県,小豆島町,室生分団消防屯所,ﾑﾛｳﾌﾞﾝﾀﾞﾝｼｮｳﾎﾞｳﾄﾝｼｮ,香川県小豆郡小豆島町室生281-3,,34.468323,134.238794,屯所内,,,,,,,,,有,,
373249,0000000009,香川県,小豆島町,二面分団消防屯所,ﾌﾀｵﾓﾃﾌﾞﾝﾀﾞﾝｼｮｳﾎﾞｳﾄﾝｼｮ,香川県小豆郡小豆島町二面319,,34.460752,134.245173,屯所内,,,,,,,,,有,,
373249,0000000010,香川県,小豆島町,三都分団消防屯所（吉野）,ﾐﾄﾌﾞﾝﾀﾞﾝｼｮｳﾎﾞｳﾄﾝｼｮ(ﾖｼﾉ),香川県小豆郡小豆島町吉野176-3,,34.451964,134.240425,屯所内,,,,,,,,,有,,
373249,0000000011,香川県,小豆島町,三都分団消防屯所（神浦）,ﾐﾄﾌﾞﾝﾀﾞﾝｼｮｳﾎﾞｳﾄﾝｼｮ(ｺｳﾉｳﾗ),香川県小豆郡小豆島町神浦654-51,,34.42983,134.237002,屯所内,,,,,,,,,有,,
373249,0000000012,香川県,小豆島町,西村公民館,ﾆｼﾑﾗｺｳﾐﾝｶﾝ,香川県小豆郡小豆島町西村甲1069-1,,34.473154,134.283703,1階ホール内,(0879)82-0201,,,,月火水木金土,08:30,17:00,日、祝日、1月2日～3日、12月29日～31日は利用不可,有,,17時以降は利用団体があれば開錠
373249,0000000013,香川県,小豆島町,西村分団消防屯所,ﾆｼﾑﾗﾌﾞﾝﾀﾞﾝｼｮｳﾎﾞｳﾄﾝｼｮ,香川県小豆郡小豆島町西村甲1074-7,,34.472641,134.283893,屯所内,,,,,,,,,有,,
373249,0000000014,香川県,小豆島町,オリーブ・ナビ,ｵﾘｰﾌﾞ･ﾅﾋﾞ,香川県小豆郡小豆島町西村甲1896-1,,34.469599,134.27444,事務室内,(0879)82-7007,,,,月火水木金土日,09:00,17:00,休館日：12月28日～30日は利用不可,有,,
373249,0000000015,香川県,小豆島町,草壁公民館,ｸｻｶﾍﾞｺｳﾐﾝｶﾝ,香川県小豆郡小豆島町草壁本町438-3,,34.482922,134.302324,正面入口ロビー付近,(0879)82-0019,,,,月火水木金土,08:30,17:00,日、祝日、1月2日～3日、12月29日～31日は利用不可,有,,17時以降は利用団体があれば開錠
373249,0000000016,香川県,小豆島町,草壁分団消防屯所,ｸｻｶﾍﾞﾌﾞﾝﾀﾞﾝｼｮｳﾎﾞｳﾄﾝｼｮ,香川県小豆郡小豆島町草壁本町438-3,,34.48294,134.302657,屯所内,,,,,,,,,有,,施錠あり
373249,0000000017,香川県,小豆島町,星城小学校,ｾｲｼﾞｮｳｼｮｳｶﾞｯｺｳ,香川県小豆郡小豆島町草壁本町632-1,,34.481385,134.300753,職員室前玄関,(0879)82-2011,,,,月火水木金,08:00,16:30,土・日、祝日、長期休暇中は不可,有,,
373249,0000000018,香川県,小豆島町,小豆島中学校,ｼｮｳﾄﾞｼﾏﾁｭｳｶﾞｯｺｳ,香川県小豆郡小豆島町片城甲44-1,,34.480238,134.311037,体育館入口,(0879)82-2136,,,,月火水木金,08:00,16:30,土・日、祝日、長期休暇中は不可,有,,
373249,0000000019,香川県,小豆島町,小豆島町役場本館,ｼｮｳﾄﾞｼﾏﾁｮｳﾔｸﾊﾞﾎﾝｶﾝ,香川県小豆郡小豆島町片城甲44-95,,34.479579,134.309079,正面玄関商工観光課前,(0879)82-7001,,,,月火水木金,08:30,17:15,土・日、祝日、1月2日～3日、12月29日～31日は正面玄関施錠。,有,,定時外は、通用口側の宿日直担当者常駐。
373249,0000000020,香川県,小豆島町,小豆島町介護保険施設,ｼｮｳﾄﾞｼﾏﾁｮｳｶｲｺﾞﾎｹﾝｼｾﾂ,香川県小豆郡小豆島町片城甲44-95,,34.479234,134.308129,3階デイルーム,(0879)82-7031,,,,月火水木金,08:30,17:15,土・日、祝日、1月2日～3日、12月29日～31日は正面玄関施錠。,有,,小豆島町役場西館に併設。定時外は、宿日直担当者常駐。
373249,0000000021,香川県,小豆島町,福祉会館（安田公民館）,ﾌｸｼｶｲｶﾝ(ﾔｽﾀﾞｺｳﾐﾝｶﾝ),香川県小豆郡小豆島町安田甲36-3,,34.479159,134.317047,正面玄関事務室付近,(0879)82-0337,,,,月火水木金土,08:30,17:00,日、祝日、1月2日～3日、12月29日～31日は利用不可,有,,17時以降は利用団体があれば開錠
373249,0000000022,香川県,小豆島町,セブン-イレブン小豆島内海店,ｾﾌﾞﾝ-ｲﾚﾌﾞﾝｼｮｳﾄﾞｼﾏｳﾁﾉﾐﾃﾝ,香川県小豆郡小豆島町安田甲144-91,,34.478314,134.31378,店舗内,(0879)82-6411,,,,月火水木金土日,00:00,00:00,24時間営業。店舗事情により、営業時間の変更や休業になる場合あり。,有,,
373249,0000000023,香川県,小豆島町,安田分団消防屯所,ﾔｽﾀﾞﾌﾞﾝﾀﾞﾝｼｮｳﾎﾞｳﾄﾝｼｮ,香川県小豆郡小豆島町安田458-1,,34.483796,134.319604,屯所内,,,,,,,,,有,,
373249,0000000024,香川県,小豆島町,橘会館,ﾀﾁﾊﾞﾅｶｲｶﾝ,香川県小豆郡小豆島町橘甲442-1,,34.49136,134.342032,デイサービスルーム前,(0879)82-2015,,,,月火水木金,08:30,17:15,土・日、祝日、1月2日～3日、12月29日～31日は利用不可,有,,
373249,0000000025,香川県,小豆島町,Ｂ&Ｇ体育館,ﾋﾞｰｱﾝﾄﾞｰｼﾞｰﾀｲｲｸｶﾝ,香川県小豆郡小豆島町馬木甲48-34,,34.471634,134.315823,正面玄関事務室付近,(0879)82-5171,,,,火水木金土日,09:00,21:30,月曜日が祝日の場合はその翌日が休館日,有,,
373249,0000000026,香川県,小豆島町,セブン-イレブン小豆島馬木店,ｾﾌﾞﾝ-ｲﾚﾌﾞﾝｼｮｳﾄﾞｼﾏｳﾏｷﾃﾝ,香川県小豆郡小豆島町馬木甲919-2,,34.47346,134.318911,店舗内,(0879)82-7119,,,,月火水木金土日,06:00,00:00,臨時休業は利用不可。店舗事情により、営業時間の変更や休業になる場合あり。,有,,
373249,0000000027,香川県,小豆島町,苗羽分団消防屯所,ﾉｳﾏﾌﾞﾝﾀﾞﾝｼｮｳﾎﾞｳﾄﾝｼｮ,香川県小豆郡小豆島町苗羽甲1071-8,,34.470598,134.320338,屯所内,,,,,,,,,有,,
373249,0000000028,香川県,小豆島町,苗羽小学校,ﾉｳﾏｼｮｳｶﾞｯｺｳ,香川県小豆郡小豆島町苗羽甲1371-1,,34.470178,134.319209,職員室前玄関,(0879)82-2013,,,,月火水木金,08:00,16:30,土・日、祝日、長期休暇中は不可,有,,
373249,0000000029,香川県,小豆島町,苗羽公民館,ﾉｳﾏｺｳﾐﾝｶﾝ,香川県小豆郡小豆島町苗羽甲2276,,34.469419,134.316845,正面玄関事務室付近,(0879)82-0410,,,,月火水木金土,08:30,17:00,日、祝日、1月2日～3日、12月29日～31日は利用不可,有,,17時以降は利用団体があれば開錠
373249,0000000030,香川県,小豆島町,坂手公民館,ｻｶﾃｺｳﾐﾝｶﾝ,香川県小豆郡小豆島町坂手甲1834-6,,34.45706,134.32159,1階トイレ付近,(0879)82-0248,,,,月火水木金土,08:30,17:00,日、祝日、1月2日～3日、12月29日～31日は利用不可,有,,17時以降は利用団体があれば開錠
373249,0000000031,香川県,小豆島町,坂手分団消防屯所,ｻｶﾃﾌﾞﾝﾀﾞﾝｼｮｳﾎﾞｳﾄﾝｼｮ,香川県小豆郡小豆島町坂手甲1853-1,,34.456725,134.321783,屯所内,,,,,,,,,有,,
373249,0000000032,香川県,小豆島町,福田公民館,ﾌｸﾀﾞｺｳﾐﾝｶﾝ,香川県小豆郡小豆島町福田甲546-1,,34.543761,134.341666,正面玄関事務室付近,(0879)84-2812,,,,月火水木金土,08:30,17:00,日、祝日、1月2日～3日、12月29日～31日は利用不可,有,,17時以降は利用団体があれば開錠
373249,0000000033,香川県,小豆島町,福田分団消防屯所,ﾌｸﾀﾞﾌﾞﾝﾀﾞﾝｼｮｳﾎﾞｳﾄﾝｼｮ,香川県小豆郡小豆島町福田甲1195-111,,34.545453,134.343511,屯所内,,,,,,,,,有,,
