NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,蒲生公民館,ｶﾓｳｺｳﾐﾝｶﾝ,香川県小豆郡小豆島町蒲生甲1805-1,,34.4834919,134.2107546,,(0879)75-0007,,373249,香川県,小豆島町,1,,1,1,1,,1,,1,,,,
2,小豆島中央高校,ｼｮｳﾄﾞｼﾏﾁｭｳｵｳｺｳｺｳ,香川県小豆郡小豆島町蒲生甲1001,,34.48112578,134.2164062,,(0879)61-9100,,373249,香川県,小豆島町,,,,1,,,,,,,,,
3,小豆島中央高校第1体育館,ｼｮｳﾄﾞｼﾏﾁｭｳｵｳｺｳｺｳﾀﾞｲｲﾁﾀｲｲｸｶﾝ,香川県小豆郡小豆島町蒲生甲1001,,34.48080077,134.2169212,,(0879)61-9100,,373249,香川県,小豆島町,,,,1,,,,,1,,,,
4,小豆島中央高校グラウンド,ｼｮｳﾄﾞｼﾏﾁｭｳｵｳｺｳｺｳｸﾞﾗｳﾝﾄﾞ,香川県小豆郡小豆島町蒲生甲1001,,34.48126507,134.2148505,,(0879)61-9100,,373249,香川県,小豆島町,,,1,1,1,1,,,,,,,
5,池田公民館中山分館,ｲｹﾀﾞｺｳﾐﾝｶﾝﾅｶﾔﾏﾌﾞﾝｶﾝ,香川県小豆郡小豆島町中山1585-1,,34.50320141,134.2420348,,(0879)75-0159,,373249,香川県,小豆島町,,1,,,,,,,,,,,
6,中山体育館,ﾅｶﾔﾏﾀｲｲｸｶﾝ,香川県小豆郡小豆島町中山1585-1,,34.50334729,134.2419544,,(0879)75-0159,,373249,香川県,小豆島町,,,,1,,,,,1,,,,
7,中山グラウンド,ﾅｶﾔﾏｸﾞﾗｳﾝﾄﾞ,香川県小豆郡小豆島町中山1717-1,,34.50310335,134.2424855,,(0879)75-0159,,373249,香川県,小豆島町,,,,1,,1,,,,,,,
8,池田小学校,ｲｹﾀﾞｼｮｳｶﾞｯｺｳ,香川県小豆郡小豆島町池田1760,,34.47959588,134.2364589,,(0879)75-2222,,373249,香川県,小豆島町,,1,,1,,,,,,,,,
9,池田小学校体育館,ｲｹﾀﾞｼｮｳｶﾞｯｺｳﾀｲｲｸｶﾝ,香川県小豆郡小豆島町池田1760,,34.47998502,134.2365447,,(0879)75-2222,,373249,香川県,小豆島町,1,1,1,1,1,,1,,1,,,,
10,池田小学校グラウンド,ｲｹﾀﾞｼｮｳｶﾞｯｺｳｸﾞﾗｳﾝﾄﾞ,香川県小豆郡小豆島町池田1748,,34.47921558,134.2369417,,(0879)75-2222,,373249,香川県,小豆島町,,,,1,,1,,,,,,,
11,イマージュセンター,ｲﾏｰｼﾞｭｾﾝﾀｰ,香川県小豆郡小豆島町池田2124,,34.48380764,134.2343624,,(0879)75-0600,,373249,香川県,小豆島町,1,,,1,,,1,,1,,,,
