NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,想定収容人数計算方法,対象となる町会・自治会,URL,備考
1,昭和小学校,ショウワショウガッコウ,香川県綾歌郡綾川町畑田2373-1,,34.24732499,133.9793125,78.2,087-877-0519,,373877,香川県,綾川町,1,1,,1,,1,1,,1,480,(3.3㎡/2人),制限なし,なし,
2,子育て支援施設きらり,コソダテシエンシセツキラリ,香川県綾歌郡綾川町畑田671-8,,34.26297457,133.9804385,62.3,087-877-2320,,373877,香川県,綾川町,1,1,,1,,1,1,,,70,(3.3㎡/2人),制限なし,なし,
3,昭和こども園,ショウワコドモエン,香川県綾歌郡綾川町畑田2422-1,,34.24890657,133.978031,72.4,087-877-1391,,373877,香川県,綾川町,1,1,,1,,1,1,,,50,(3.3㎡/2人),制限なし,なし,
4,昭和公民館,ショウワコウミンカン,香川県綾歌郡綾川町畑田2390-8,,34.24718051,133.9782567,74.4,087-877-1536,,373877,香川県,綾川町,1,1,,1,,1,1,,1,170,(3.3㎡/2人),制限なし,なし,
5,綾南中学校,リョウナンチュウガッコウ,香川県綾歌郡綾川町陶5593-1,,34.2475456,133.9460926,51.3,087-876-1187,,373877,香川県,綾川町,1,1,,1,,1,1,,1,780,(3.3㎡/2人),制限なし,なし,
6,陶小学校,スエショウガッコウ,香川県綾歌郡綾川町陶5878-1,,34.25367211,133.9512269,52.8,087-876-1182,,373877,香川県,綾川町,1,1,,1,,1,1,,1,380,(3.3㎡/2人),制限なし,なし,
7,陶こども園,スエコドモエン,香川県綾歌郡綾川町陶2087-1,,34.25844055,133.9490213,54.7,087-876-1777,,373877,香川県,綾川町,1,1,,1,,1,1,,,100,(3.3㎡/2人),制限なし,なし,
8,陶公民館,スエコウミンカン,香川県綾歌郡綾川町陶5866-1,,34.25283156,133.9500508,51.8,087-876-2553,,373877,香川県,綾川町,1,1,,1,,1,1,,1,240,(3.3㎡/2人),制限なし,なし,
9,国保総合保健施設えがお,コクホソウゴウホケンシセツエガオ,香川県綾歌郡綾川町陶1720-1,,34.25971827,133.9434304,60.5,087-876-2525,,373877,香川県,綾川町,1,1,,1,,1,1,,1,150,(3.3㎡/2人),制限なし,なし,
10,総合運動公園(体育館),ソウゴウウンドウコウエンタイイクカン,香川県綾歌郡綾川町陶1536-1,,34.26509003,133.9504349,80,087-876-3580,,373877,香川県,綾川町,1,1,,1,,1,1,,,750,(3.3㎡/2人),制限なし,なし,
11,滝宮小学校,タキノミヤショウガッコウ,香川県綾歌郡綾川町滝宮1095-1,,34.24540956,133.9229287,50.8,087-876-1183,,373877,香川県,綾川町,1,1,,1,,1,1,,1,400,(3.3㎡/2人),制限なし,なし,
12,滝宮こども園,タキノミヤコドモエン,香川県綾歌郡綾川町滝宮528,,34.24784512,133.9300464,44,087-876-1776,,373877,香川県,綾川町,1,1,,1,,1,1,,,60,(3.3㎡/2人),制限なし,なし,
13,滝宮公民館,タキノミヤコウミンカン,香川県綾歌郡綾川町滝宮297-6,,34.25002276,133.9216335,43.7,087-876-1931,,373877,香川県,綾川町,1,1,,1,,1,1,,1,130,(3.3㎡/2人),制限なし,なし,
14,梅の里社会福祉センター,ウメノサトシャカイフクシセンター,香川県綾歌郡綾川町滝宮276,,34.24992303,133.9210354,43.5,087-876-4221,,373877,香川県,綾川町,1,1,,1,,1,1,,,30,(3.3㎡/2人),制限なし,なし,
15,綾南農村環境改善センター,リョウナンノウソンカンキョウカイゼンセンター,香川県綾歌郡綾川町滝宮299,,34.24925916,133.9231817,40.9,087-876-5282,,373877,香川県,綾川町,1,1,,1,,1,1,,1,180,(3.3㎡/2人),制限なし,なし,
16,道の駅「滝宮」,ミチノエキタキノミヤ,香川県綾歌郡綾川町滝宮1578,,34.25013718,133.9168964,42.5,087-876-5018,,373877,香川県,綾川町,1,1,,1,,1,1,,,50,(3.3㎡/2人),制限なし,なし,
17,農業経営高等学校,ノウギョウケイエイコウコウ,香川県綾歌郡綾川町北1023-1,,34.23723585,133.9296513,68.3,087-876-1161,,373877,香川県,綾川町,1,1,,1,,1,1,,,590,(3.3㎡/2人),制限なし,なし,
18,羽床小学校,ハユカショウガッコウ,香川県綾歌郡綾川町羽床下2256,,34.23543197,133.905635,43.1,087-876-1184,,373877,香川県,綾川町,1,1,,1,,1,1,,1,360,(3.3㎡/2人),制限なし,なし,
