部局,出先名,郵便番号,所在地,電話番号,緯度,経度
政策部関係,東京事務所,102-0093,東京都千代田区平河町2-6-3　都道府県会館9階,03-5212-9100,35.679305,139.739096
政策部関係,小豆総合事務所,761-4121,小豆郡土庄町渕崎甲2079-5,0879-62-0321,34.485197,134.190908
政策部関係,小豆総合事務所農業改良普及課,761-4301,小豆郡小豆島町池田2519-2,0879-75-0145,34.483898,134.231139
政策部関係,小豆総合事務所家畜保健衛生室,761-4122,小豆郡土庄町上庄28-1,0879-62-0359,34.489837,134.193101
政策部関係,内海ダム管理事務所,761-4433,小豆郡小豆島町神懸通字後山甲1908,0879-82-0269,34.494826,134.298374
政策部関係,殿川ダム管理事務所,761-4303,小豆郡小豆島町中山字向條166-3,0879-75-0289,34.501048,134.248595
政策部関係,粟地ダム管理事務所,761-4411,小豆郡小豆島町安田字粟地甲1771-1,0879-82-4815,34.493356,134.321793
政策部関係,吉田ダム管理事務所,761-4401,小豆郡小豆島町吉田字川向乙92-3,0879-84-2811,34.551418,134.33367
政策部関係,漆芸研究所,760-0017,高松市番町1-10-39,087-831-1814,34.341986,134.044985
政策部関係,県立ミュージアム,760-0030,高松市玉藻町5-5,087-822-0002,34.349755,134.053232
政策部関係,県立ミュージアム分館（瀬戸内海歴史民俗資料館）,761-8001,高松市亀水町1412-2,087-881-4707,34.378224,133.930981
政策部関係,県立ミュージアム分館（文化会館）,760-0017,高松市番町1-10-39,087-831-1806,34.341986,134.044985
政策部関係,東山魁夷せとうち美術館,762-0066,坂出市沙弥島字南通224-13,0877-44-1333,34.349386,133.82419
総務部関係,文書館,761-0301,高松市林町2217-19,087-868-7171,34.293148,134.06663
総務部関係,県税事務所,760-0068,高松市松島町1-17-28,087-806-0302,34.33936,134.058875
総務部関係,中讃税務窓口センター,762-0011,坂出市江尻町1355,0877-46-0421,34.318621,133.878034
総務部関係,東讃県民センター,769-2401,さぬき市津田町津田930-2,0879-42-1370,34.289386,134.248029
総務部関係,小豆県民センター,761-4121,小豆郡土庄町渕崎甲2079-5,0879-62-2266,34.485197,134.190908
総務部関係,中讃県民センター,765-0014,善通寺市生野本町1-1-12,0877-62-9610,34.225668,133.790708
総務部関係,西讃県民センター,768-0067,観音寺市坂本町7-3-18,0875-25-5200,34.127377,133.659015
総務部関係,パスポートセンター,760-0019,高松市サンポート2-1（高松シンボルタワー　タワー棟2階）,087-825-5111,34.352507,134.04662
危機管理総局関係,消防学校,761-8002,高松市生島町689-11,087-881-3281,34.364858,133.96954
危機管理総局関係,防災センター,761-8002,高松市生島町689-11,087-881-0567,34.364858,133.96954
環境森林部関係,環境保健研究センター,760-0065,高松市朝日町5-3-105,087-825-0400,34.350195,134.074619
環境森林部関係,森林センター,769-0317,仲多度郡まんのう町新目823,0877-77-2515,34.127499,133.834735
環境森林部関係,東部林業事務所,761-0446,高松市東植田町1210-3,087-849-0444,34.241334,134.104359
環境森林部関係,西部林業事務所,766-0021,仲多度郡まんのう町四條1192-1,0877-73-2347,34.191124,133.832752
環境森林部関係,直島環境センター,761-3110,香川郡直島町2628-1,087-892-2981,34.472413,133.969744
健康福祉部関係,東讃保健福祉事務所,769-2401,さぬき市津田町津田930-2,0879-29-8250,34.289386,134.248029
健康福祉部関係,中讃保健福祉事務所,763-0082,丸亀市土器町東8-526,0877-24-9960,34.300882,133.80579
健康福祉部関係,西讃保健福祉事務所,768-0067,観音寺市坂本町7-3-18 ,0875-25-3082,34.127377,133.659015
健康福祉部関係,子ども女性相談センター,760-0004,高松市西宝町2-6-32,087-862-8861,34.340628,134.029991
健康福祉部関係,西部子ども相談センター,763-0082,丸亀市土器町東8-526 ,0877-24-3173,34.300882,133.80579
健康福祉部関係,斯道学園,760-0004,高松市西宝町2-6-9,087-861-4834,34.33982,134.029827
健康福祉部関係,障害福祉相談所,761-8057,高松市田村町1114,087-867-2696,34.306952,134.030807
健康福祉部関係,精神保健福祉センター,760-0068,高松市松島町1-17-28,087-804-5565,34.33936,134.058875
健康福祉部関係,川部みどり園,761-8046,高松市川部町418,087-885-8600,34.272341,134.008559
健康福祉部関係,保健医療大学,761-0123,高松市牟礼町原281-1,087-870-1212,34.321816,134.157752
健康福祉部関係,食肉衛生検査所,762-0011,坂出市江尻町1355,0877-45-5132,34.318621,133.878034
商工労働部関係,大阪事務所,542-0083,大阪府大阪市中央区東心斎橋1-18-24　クロスシティ心斎橋4階,06-6281-1661,34.674114,135.502492
商工労働部関係,産業技術センター,761-8031,高松市郷東町587-1,087-881-3175,34.351421,134.019507
商工労働部関係,産業技術センター発酵食品研究所,761-4421,小豆郡小豆島町苗羽甲1351-1,0879-82-0034,34.469517,134.320884
商工労働部関係,計量検定所,761-8031,高松市郷東町587-1,087-881-2517,34.350271,134.020585
商工労働部関係,高等技術学校（高松校舎）,761-8031,高松市郷東町587-1,087-881-3171,34.351274,134.020475
商工労働部関係,高等技術学校（丸亀校舎）,763-8513,丸亀市港町307,0877-22-2633,34.298332,133.793703
交流推進部関係,栗林公園観光事務所,760-0073,高松市栗林町1-20-16,087-833-7411,34.329844,134.045517
交流推進部関係,香川・愛媛せとうち旬彩館 ,105-0004,東京都港区新橋2-19-10　新橋マリンビル1・2階,03-3574-1103,35.666907,139.759376
農政水産部関係,農業試験場　,761-2306,綾歌郡綾川町北1534-1,087-814-7311,34.232044,133.93549
